Rank,Agent,KD,KDA,Win %,Pick %,Avg.,Score,First Blood %,Matches
1,Raze,1.07,16.8,15.8,5,51.0,8.5,246,0.1,21537
2,Killjoy,1.02,14.6,14.3,4.1,50.8,6.8,206,0.2,17148
3,Reyna,1.15,17.9,15.5,4.6,50.7,10.9,250,0.1,27489
4,Phoenix,1.1,17,15.4,4.8,50.6,3.0,240,0.1,7580
5,Brimstone,0.98,14.6,14.9,8.3,50.4,5.1,209,0.1,12798
6,Sage,0.92,13.7,14.9,7.5,50.4,12.5,193,0.1,31600
7,Gekko,0.95,14.2,15,4.9,49.8,5.5,197,0.1,13846
8,Astra,1.05,15.3,14.6,6.2,49.7,2.2,212,0.1,5461
9,Skye,0.93,14,15.1,7.7,49.5,4.3,198,0.1,10892
10,Cypher,1.02,14.7,14.5,5,49.4,4.9,203,0.2,12378
11,Sova,0.98,14.5,14.8,5.3,49.3,2.5,207,0.1,6343
12,Jett,1.08,17.1,15.9,3.9,49.2,8.1,241,0.1,20536
13,Omen,1,15.1,15.2,6.7,49.2,8.2,211,0.1,20715
14,Fade,0.95,14.3,15.1,6,49.0,3.3,201,0.1,8241
15,Viper,0.99,14.5,14.7,5.4,48.7,3.1,205,0.1,7775
16,Chamber,1.06,16,15,3.2,48.6,2.0,220,0.1,4947
17,Neon,1,16.2,16.2,4.3,48.6,1.6,230,0.1,4024
18,KAY/O,0.92,14.3,15.5,8.5,47.5,3.1,205,0.1,7826
19,Yoru,1.01,15.6,15.5,4.3,46.8,1.4,220,0.1,3516
20,Breach,0.93,14.4,15.5,6.4,46.2,2.4,204,0.1,6183
21,Harbor,0.9,13.8,15.3,5.8,46.1,0.8,194,0.1,2104
