Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Reyna,Duelist,1.16,18,15.6,4.6,51.1,10.9,251,0.1,25604
2,Sage,Sentinel,0.94,14,14.8,7.6,51.0,12.2,196,0.1,28625
3,Phoenix,Duelist,1.11,17.1,15.4,4.8,50.7,2.9,242,0.1,6797
4,Raze,Duelist,1.07,17.1,16,5.1,50.5,8.8,247,0.1,20638
5,Cypher,Sentinel,1.02,14.8,14.6,5,50.4,4.8,204,0.2,11248
6,Killjoy,Sentinel,1.01,14.5,14.4,4,49.8,6.5,205,0.2,15148
7,Jett,Duelist,1.09,17.3,15.9,3.9,49.8,8.6,242,0.1,20051
8,Chamber,Sentinel,1.09,16.3,14.9,3.1,49.7,2.0,223,0.1,4697
9,Brimstone,Controller,0.98,14.7,15,8.5,49.5,5.1,211,0.1,11825
10,Astra,Controller,1.06,15.5,14.6,6.3,49.4,2.4,213,0.1,5637
11,Fade,Initiator,0.97,14.6,15,6.1,49.2,3.1,203,0.1,7354
12,Gekko,Initiator,0.94,14.2,15.1,5,49.1,5.5,196,0.1,12774
13,Omen,Controller,1.01,15.3,15.2,6.8,48.8,8.4,213,0.1,19587
14,Skye,Initiator,0.94,14.3,15.1,7.7,48.8,4.4,200,0.1,10332
15,Viper,Controller,0.98,14.6,14.8,5.6,48.7,2.8,204,0.1,6542
16,Breach,Initiator,0.94,14.5,15.4,6.5,48.5,2.6,203,0.1,6170
17,Sova,Initiator,0.99,14.7,14.8,5.3,48.2,2.4,209,0.1,5590
18,Harbor,Controller,0.94,14.2,15.2,5.9,47.9,0.7,199,0.1,1724
19,Neon,Duelist,1.01,16.3,16.2,4.3,47.4,1.5,231,0.1,3433
20,KAY/O,Initiator,0.93,14.4,15.5,8.6,47.2,3.1,206,0.1,7289
21,Yoru,Duelist,1,15.9,15.8,4.5,46.0,1.3,220,0.1,2965
