Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Astra,Controller,1.04,15.1,14.5,5.8,52.8,1.5,210,0.1,3984
2,Sage,Sentinel,0.91,13.2,14.6,7.4,50.5,13.0,190,0.1,35594
3,Killjoy,Sentinel,1,14.2,14.2,4.3,50.5,6.9,203,0.2,18832
4,Raze,Duelist,1.04,16.1,15.5,5.1,50.2,7.5,239,0.1,20585
5,Reyna,Duelist,1.15,17.5,15.2,4.7,50.2,11.5,249,0.1,31666
6,Brimstone,Controller,0.96,14.3,14.8,7.6,49.8,5.1,208,0.1,14124
7,Omen,Controller,0.99,14.8,15,6.1,49.7,7.5,210,0.1,20501
8,Cypher,Sentinel,0.99,14.3,14.4,5.2,49.7,4.2,200,0.1,11431
9,Skye,Initiator,0.93,13.8,15,7.8,49.7,4.2,198,0.1,11574
10,Breach,Initiator,0.93,14.2,15.2,6,49.6,2.3,203,0.1,6216
11,Fade,Initiator,0.92,13.9,15,6.1,49.5,3.7,197,0.1,10195
12,Gekko,Initiator,0.94,14.1,15,4.8,49.5,4.9,197,0.1,13344
13,Viper,Controller,0.96,13.9,14.6,5.4,49.3,3.7,200,0.2,10199
14,Jett,Duelist,1.07,16.7,15.6,4.1,49.0,6.6,238,0.1,18168
15,Sova,Initiator,0.95,14,14.7,5.3,49.0,3.1,203,0.1,8426
16,Phoenix,Duelist,1.08,16.4,15.2,4.8,48.6,3.5,236,0.1,9714
17,Chamber,Sentinel,1.05,15.6,14.9,3.4,48.5,2.0,216,0.1,5518
18,Harbor,Controller,0.88,13.4,15.2,5.6,48.1,1.1,190,0.1,2894
19,Yoru,Duelist,1.01,15.4,15.3,4.4,47.3,2.1,218,0.1,5766
20,Neon,Duelist,0.99,15.8,15.9,4.3,46.1,2.4,227,0.1,6621
21,KAY/O,Initiator,0.89,13.6,15.3,8.2,46.1,3.4,199,0.1,9279
