Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Gekko,0.89,13.1,14.7,4.7,51.0,3.8,187,0.1,6410
2,Killjoy,0.94,13.2,14,4.3,50.9,6.2,193,0.2,10436
3,Brimstone,0.92,13.5,14.7,7.1,50.7,4.3,198,0.1,7293
4,Raze,0.97,14.9,15.3,5.2,50.3,7.4,224,0.1,12504
5,Reyna,1.06,16.1,15.1,4.7,50.2,10.9,232,0.1,18448
6,Breach,0.9,13.5,15,5.8,50.2,2.0,196,0.1,3296
7,Sage,0.85,12.2,14.4,7,50.1,14.1,178,0.1,23751
8,Skye,0.85,12.8,14.9,7.7,49.2,4.2,186,0.1,7099
9,KAY/O,0.85,12.8,15,8,49.2,3.5,190,0.1,5956
10,Phoenix,0.98,14.8,15,4.6,48.9,4.0,216,0.1,6701
11,Cypher,0.95,13.6,14.3,5.1,48.9,3.5,192,0.1,5975
12,Astra,0.93,13.4,14.5,5.3,48.6,1.0,193,0.1,1627
13,Jett,0.98,15,15.3,4.1,48.0,5.7,218,0.1,9528
14,Sova,0.89,13.1,14.8,5.2,47.6,3.7,192,0.1,6177
15,Fade,0.85,12.7,14.9,6,47.5,4.6,185,0.1,7734
16,Neon,0.91,14.3,15.8,4.3,47.5,3.7,209,0.1,6164
17,Viper,0.91,13.2,14.5,5.1,47.4,4.1,191,0.1,6988
18,Omen,0.93,14,15.1,5.5,47.3,6.8,200,0.1,11508
19,Yoru,0.93,14.2,15.2,4.3,46.6,3.3,203,0.1,5635
20,Harbor,0.84,12.4,14.8,5.3,46.3,1.2,181,0.1,2093
21,Chamber,0.95,14,14.7,3.6,45.1,1.9,201,0.1,3259
