Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,Sentinel,1.01,14.4,14.3,4.1,51.2,6.8,204,0.2,18550
2,Reyna,Duelist,1.14,17.6,15.5,4.6,50.2,11.1,249,0.1,30219
3,Brimstone,Controller,0.97,14.5,15,8.2,50.1,5.1,209,0.1,14065
4,Sage,Sentinel,0.92,13.5,14.7,7.5,50.1,12.7,191,0.1,34634
5,Gekko,Initiator,0.94,14.2,15.1,4.9,50.0,5.3,197,0.1,14598
6,Phoenix,Duelist,1.1,16.9,15.4,4.7,49.9,3.1,238,0.1,8603
7,Raze,Duelist,1.06,16.7,15.8,5,49.9,8.1,244,0.1,22103
8,Fade,Initiator,0.93,14,15,6,49.7,3.4,196,0.1,9374
9,Skye,Initiator,0.94,14.1,15.1,7.7,49.4,4.3,198,0.1,11873
10,Jett,Duelist,1.07,17,15.9,4.1,49.2,7.6,240,0.1,20903
11,Chamber,Sentinel,1.06,15.8,14.9,3.3,49.0,2.0,217,0.1,5332
12,Viper,Controller,0.98,14.4,14.6,5.4,48.7,3.3,203,0.2,8911
13,Omen,Controller,0.99,14.9,15.2,6.5,48.6,8.0,209,0.1,21760
14,Cypher,Sentinel,1,14.5,14.5,5,48.6,4.6,201,0.2,12705
15,Astra,Controller,1.03,15.1,14.6,6.2,48.4,2.1,209,0.1,5804
16,Neon,Duelist,0.98,15.9,16.2,4.4,48.2,1.7,227,0.1,4533
17,Sova,Initiator,0.97,14.5,14.9,5.3,48.0,2.7,206,0.1,7273
18,Breach,Initiator,0.93,14.3,15.4,6.3,47.0,2.5,202,0.1,6761
19,KAY/O,Initiator,0.9,14,15.5,8.4,46.1,3.2,202,0.1,8630
20,Yoru,Duelist,1.01,15.5,15.4,4.5,46.1,1.6,220,0.1,4278
21,Harbor,Controller,0.89,13.6,15.4,5.7,43.0,0.9,193,0.1,2408
