Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,0.98,14.8,15.1,8.7,51.1,5.1,210,0.1,11244
2,Sage,Sentinel,0.93,13.9,14.9,7.7,50.9,12.6,195,0.1,27991
3,Sova,Initiator,0.99,14.7,14.8,5.4,50.3,2.4,208,0.1,5237
4,Killjoy,Sentinel,1,14.4,14.4,4,50.2,6.5,203,0.2,14498
5,Phoenix,Duelist,1.11,17.1,15.5,4.8,49.8,2.7,241,0.1,6090
6,Raze,Duelist,1.06,17,15.9,5,49.8,9.0,246,0.1,19975
7,Gekko,Initiator,0.95,14.3,15,4.9,49.5,5.6,196,0.1,12523
8,Cypher,Sentinel,1.01,14.8,14.6,5,49.4,5.1,203,0.1,11257
9,Reyna,Duelist,1.13,17.8,15.7,4.6,49.4,10.4,248,0.1,23007
10,Breach,Initiator,0.94,14.4,15.4,6.7,49.3,2.4,201,0.1,5426
11,Omen,Controller,0.99,15.1,15.2,7,49.1,8.5,210,0.1,18810
12,Jett,Duelist,1.07,17.2,16.1,3.9,48.9,8.7,239,0.1,19418
13,Fade,Initiator,0.94,14.2,15.1,6.1,48.8,3.2,200,0.1,7025
14,Viper,Controller,0.99,14.8,14.8,5.7,48.6,2.6,206,0.1,5773
15,Skye,Initiator,0.95,14.5,15.2,7.7,48.5,4.5,201,0.1,9935
16,Astra,Controller,1.04,15.4,14.8,6.5,48.5,2.5,211,0.1,5537
17,Chamber,Sentinel,1.05,15.9,15.2,3.2,46.4,1.9,218,0.1,4149
18,Neon,Duelist,0.97,15.9,16.5,4.4,46.0,1.3,226,0.1,2886
19,KAY/O,Initiator,0.92,14.3,15.5,8.6,45.6,3.2,205,0.1,7182
20,Yoru,Duelist,1.02,15.8,15.5,4.3,43.9,1.2,220,0.1,2657
21,Harbor,Controller,0.89,13.8,15.5,5.7,42.7,0.7,193,0.1,1591
