Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,0.99,14.8,15,8.9,51.4,5.0,211,0.1,9904
2,Raze,Duelist,1.06,16.9,16,5,50.9,9.3,245,0.1,18428
3,Reyna,Duelist,1.14,17.9,15.7,4.6,50.8,10.0,249,0.1,19773
4,Phoenix,Duelist,1.1,17.2,15.6,4.8,50.6,2.5,242,0.1,5047
5,Sage,Sentinel,0.94,14.1,15,7.6,50.5,12.6,197,0.1,25009
6,Viper,Controller,1.01,14.9,14.8,5.6,50.4,2.4,207,0.1,4781
7,Killjoy,Sentinel,1.01,14.6,14.4,4,49.9,6.4,204,0.2,12763
8,Skye,Initiator,0.96,14.6,15.2,7.8,49.1,4.7,201,0.1,9368
9,Omen,Controller,1,15.2,15.2,7.1,49.0,8.6,210,0.1,17140
10,Fade,Initiator,0.95,14.3,15.1,6.2,48.9,3.0,199,0.1,5958
11,Jett,Duelist,1.08,17.3,16.1,3.9,48.8,8.9,241,0.1,17752
12,Gekko,Initiator,0.95,14.4,15.2,4.9,48.7,5.9,197,0.1,11649
13,Cypher,Sentinel,1.02,14.9,14.7,4.9,48.7,5.3,203,0.2,10527
14,Sova,Initiator,0.97,14.7,15.1,5.4,48.6,2.2,206,0.1,4359
15,Astra,Controller,1.05,15.5,14.7,6.5,48.3,2.8,211,0.1,5512
16,Breach,Initiator,0.94,14.5,15.4,6.8,47.5,2.5,204,0.1,5054
17,Chamber,Sentinel,1.07,16.2,15.2,3.1,46.1,1.8,221,0.1,3664
18,KAY/O,Initiator,0.91,14.4,15.7,8.8,46.1,3.1,204,0.1,6072
19,Yoru,Duelist,1.01,16.3,16.1,4.6,44.2,1.1,222,0.1,2191
20,Neon,Duelist,0.98,16.2,16.5,4.2,44.2,1.1,226,0.1,2094
21,Harbor,Controller,0.89,13.6,15.3,6,43.1,0.7,190,0.1,1373
