Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,Sentinel,0.99,13.9,14.1,4.3,51.5,6.7,202,0.2,15373
2,Brimstone,Controller,0.97,14.2,14.6,7.4,51.0,4.9,208,0.1,11345
3,Reyna,Duelist,1.14,17.3,15.2,4.7,50.7,11.4,247,0.1,26238
4,Raze,Duelist,1.04,16.1,15.4,5.2,50.6,7.4,239,0.1,17053
5,Sage,Sentinel,0.9,13.1,14.6,7.3,50.3,13.3,189,0.1,30602
6,Gekko,Initiator,0.93,13.9,14.9,4.9,50.2,4.5,196,0.1,10275
7,Astra,Controller,1.02,14.6,14.4,5.6,50.1,1.3,208,0.1,3011
8,Skye,Initiator,0.92,13.5,14.8,7.8,49.9,4.3,196,0.1,9953
9,Cypher,Sentinel,1.01,14.4,14.3,5.2,49.7,3.9,202,0.2,9042
10,Phoenix,Duelist,1.06,16.2,15.2,4.8,49.7,3.7,233,0.1,8470
11,Fade,Initiator,0.93,13.8,14.8,6,49.5,4.0,198,0.1,9247
12,Chamber,Sentinel,1.05,15.2,14.5,3.4,49.3,2.0,214,0.1,4579
13,Omen,Controller,0.99,14.8,15,5.9,49.1,7.4,210,0.1,16976
14,Jett,Duelist,1.04,16.3,15.6,4.1,49.0,6.3,233,0.1,14499
15,Breach,Initiator,0.93,14.2,15.2,5.9,48.7,2.2,205,0.1,5125
16,Sova,Initiator,0.94,13.9,14.7,5.2,48.5,3.4,201,0.1,7735
17,Viper,Controller,0.95,13.9,14.6,5.4,48.2,3.8,200,0.1,8826
18,Yoru,Duelist,0.99,15,15.2,4.4,47.8,2.4,214,0.1,5597
19,Neon,Duelist,0.98,15.5,15.9,4.4,47.5,2.8,224,0.1,6374
20,KAY/O,Initiator,0.89,13.5,15.2,8.2,46.1,3.2,199,0.1,7370
21,Harbor,Controller,0.88,13.2,15.1,5.4,45.7,1.1,191,0.1,2492
