Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,Sentinel,0.88,12.7,14.4,7.2,50.9,13.5,184,0.1,27675
2,Reyna,Duelist,1.1,16.6,15.1,4.7,50.4,11.1,240,0.1,22727
3,Killjoy,Sentinel,0.96,13.5,14.1,4.3,50.3,6.9,197,0.2,14023
4,Raze,Duelist,1.01,15.5,15.4,5.2,49.9,7.4,231,0.1,15082
5,Brimstone,Controller,0.93,13.8,14.8,7.3,49.9,4.6,203,0.1,9429
6,Gekko,Initiator,0.91,13.5,14.9,4.8,49.8,4.3,193,0.1,8701
7,Skye,Initiator,0.88,13,14.8,7.8,49.7,4.4,190,0.1,8953
8,Fade,Initiator,0.9,13.3,14.8,6,49.5,4.2,192,0.1,8570
9,Cypher,Sentinel,0.97,13.8,14.2,5.2,49.4,3.9,196,0.2,7972
10,Breach,Initiator,0.92,14.1,15.2,5.8,49.3,2.1,202,0.1,4262
11,Phoenix,Duelist,1.02,15.4,15.1,4.7,49.2,3.9,225,0.1,7918
12,Sova,Initiator,0.93,13.6,14.6,5.2,49.0,3.5,199,0.1,7116
13,Omen,Controller,0.95,14.3,15,5.7,48.3,7.2,204,0.1,14690
14,Astra,Controller,0.97,14.2,14.7,5.5,48.3,1.2,201,0.1,2476
15,Viper,Controller,0.92,13.3,14.5,5.2,47.9,3.9,194,0.1,7988
16,Chamber,Sentinel,0.99,14.6,14.7,3.5,47.8,1.9,206,0.1,3969
17,Harbor,Controller,0.88,13.2,15,5.4,47.5,1.1,190,0.1,2261
18,Jett,Duelist,1.01,15.6,15.5,4.1,47.2,5.9,225,0.1,12048
19,KAY/O,Initiator,0.87,13.3,15.2,8.1,46.5,3.3,196,0.1,6820
20,Yoru,Duelist,0.94,14.3,15.2,4.3,45.8,2.8,207,0.1,5698
21,Neon,Duelist,0.94,14.8,15.8,4.3,45.3,3.1,216,0.1,6261
