Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,0.98,14.5,14.8,7.9,51.8,4.6,207,0.1,11391
2,Phoenix,1.12,17.2,15.3,4.7,51.5,3.5,242,0.1,8597
3,Raze,1.07,16.7,15.7,5,51.2,7.3,244,0.1,18070
4,Sage,0.92,13.6,14.8,7,51.1,8.8,191,0.1,21946
5,Gekko,0.95,14.3,14.9,5,50.9,5.7,197,0.1,14202
6,Reyna,1.17,18.1,15.5,4.5,50.6,11.4,252,0.1,28423
7,Astra,1.03,15,14.6,5.9,50.3,1.9,206,0.2,4683
8,Killjoy,0.99,14.2,14.3,3.8,49.8,6.8,200,0.2,16999
9,Jett,1.11,17.4,15.7,3.8,49.7,8.3,243,0.1,20646
10,Cypher,1.01,14.6,14.5,4.8,49.7,3.3,201,0.2,8125
11,Omen,0.99,15,15.1,6.4,49.4,7.6,208,0.1,18932
12,Skye,0.93,14.1,15,7.7,49.0,4.7,198,0.1,11608
13,Chamber,1.09,16.2,14.8,3.1,48.8,3.5,221,0.1,8747
14,Breach,0.94,14.5,15.4,6.6,48.4,4.4,203,0.1,11027
15,Fade,0.94,14.3,15.2,6.3,48.4,3.8,199,0.1,9427
16,Viper,1,14.7,14.7,5.5,48.4,2.5,205,0.1,6277
17,Harbor,0.93,14.1,15.3,5.8,48.3,2.3,196,0.1,5811
18,KAY/O,0.91,14.1,15.6,8.9,46.6,3.2,203,0.1,7986
19,Yoru,1,15.4,15.5,4.3,46.5,1.6,217,0.1,3943
20,Neon,1,16.3,16.3,4.3,46.4,2.3,231,0.1,5660
21,Sova,0.96,14.4,15,5.4,45.9,2.5,204,0.1,6246
