Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,1,14.9,15,8.4,51.8,4.2,210,0.1,7494
2,Killjoy,1.02,14.6,14.3,3.8,51.4,7.4,203,0.2,13292
3,Astra,1.05,15.3,14.6,6.1,51.4,2.2,207,0.2,3967
4,Chamber,1.13,16.8,14.9,2.9,51.0,3.8,225,0.1,6888
5,Sage,0.94,14,14.9,7.1,50.8,6.9,193,0.1,12395
6,Raze,1.07,17.2,16,5,50.6,7.8,247,0.1,14021
7,Gekko,0.97,14.6,15,5.1,50.4,6.3,198,0.1,11377
8,Reyna,1.15,18,15.7,4.5,50.1,10.7,248,0.1,19163
9,Phoenix,1.14,17.5,15.4,4.7,50.0,2.9,245,0.1,5243
10,Fade,0.96,14.6,15.2,6.5,49.8,3.8,201,0.1,6868
11,Breach,0.94,14.6,15.4,7,49.6,5.2,202,0.1,9315
12,Yoru,1.01,15.9,15.7,4.4,49.2,1.2,220,0.1,2094
13,Viper,1.01,14.8,14.7,5.6,48.7,1.8,207,0.2,3242
14,Cypher,1.01,14.8,14.8,4.7,48.7,3.4,201,0.2,6143
15,Sova,0.98,14.7,14.9,5.5,48.6,2.1,205,0.1,3721
16,Neon,1.01,16.6,16.4,4.4,48.3,1.7,233,0.1,3114
17,Omen,0.98,15,15.3,6.9,48.3,8.2,206,0.1,14685
18,Jett,1.09,17.4,16,3.7,48.3,10.0,240,0.1,17874
19,Skye,0.95,14.5,15.3,7.9,48.1,4.6,200,0.1,8189
20,Harbor,0.93,14.3,15.2,6,46.6,2.8,196,0.1,5006
21,KAY/O,0.91,14.3,15.7,9.3,45.1,2.9,205,0.1,5204
