Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Astra,1.04,15.1,14.4,6.1,51.8,2.3,208,0.1,4486
2,Gekko,0.97,14.6,15.1,5.1,51.7,6.3,198,0.1,12197
3,Raze,1.08,17,15.7,4.9,51.3,7.6,246,0.1,14823
4,Reyna,1.16,18.1,15.6,4.4,51.1,10.8,250,0.1,21044
5,Sova,0.99,14.7,14.9,5.4,51.0,2.2,206,0.1,4226
6,Brimstone,0.98,14.7,15,8.3,51.0,4.4,207,0.1,8620
7,Sage,0.93,13.9,14.9,7.1,50.9,7.3,193,0.1,14245
8,Killjoy,1.01,14.5,14.3,3.8,50.8,7.1,202,0.2,13912
9,Phoenix,1.12,17.2,15.4,4.7,50.1,3.3,241,0.1,6403
10,Chamber,1.11,16.5,14.9,2.9,49.8,3.9,223,0.1,7584
11,Omen,0.98,14.9,15.2,6.8,49.1,8.0,205,0.1,15576
12,Breach,0.93,14.4,15.5,7,49.0,5.0,200,0.1,9650
13,Jett,1.09,17.4,15.9,3.7,48.8,9.3,240,0.1,18067
14,Neon,0.99,16.3,16.4,4.3,48.7,1.8,228,0.1,3510
15,Skye,0.95,14.4,15.2,7.7,48.7,4.7,200,0.1,9151
16,Yoru,1,15.9,15.8,4.4,48.3,1.3,220,0.1,2474
17,Fade,0.95,14.4,15.2,6.3,48.1,3.7,200,0.1,7191
18,Cypher,0.98,14.6,14.8,4.8,47.9,3.4,199,0.2,6623
19,Viper,0.99,14.7,14.7,5.6,47.2,2.1,206,0.1,4089
20,KAY/O,0.92,14.3,15.5,9.2,46.9,3.0,205,0.1,5930
21,Harbor,0.91,14,15.3,5.8,45.3,2.6,193,0.1,5063
