Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.95,14,14.7,4.9,51.4,5.0,198,0.1,13384
2,Reyna,Duelist,1.17,17.7,15.2,4.7,51.0,11.9,252,0.1,31990
3,Raze,Duelist,1.04,16.1,15.5,5.2,50.9,6.8,239,0.1,18453
4,Phoenix,Duelist,1.09,16.5,15.1,4.6,50.6,3.8,236,0.1,10185
5,Sage,Sentinel,0.9,13.2,14.6,6.9,50.4,11.0,188,0.1,29652
6,Brimstone,Controller,0.96,14.2,14.8,7.4,50.4,4.7,206,0.1,12651
7,Jett,Duelist,1.09,16.9,15.4,4,50.1,6.7,240,0.1,17993
8,Viper,Controller,0.98,14.3,14.6,5.5,50.1,3.0,206,0.1,8167
9,Killjoy,Sentinel,0.98,13.8,14.1,4.1,50.0,6.8,199,0.2,18357
10,Astra,Controller,1,14.5,14.5,5.4,49.9,1.3,203,0.1,3522
11,Breach,Initiator,0.92,14.1,15.3,6.2,49.1,3.3,201,0.1,9029
12,Fade,Initiator,0.92,13.7,15,6.1,49.1,4.1,196,0.1,10982
13,Neon,Duelist,1,15.8,15.8,4.3,49.1,3.0,228,0.1,7997
14,Cypher,Sentinel,0.99,14.1,14.2,4.9,48.9,3.1,199,0.1,8309
15,Chamber,Sentinel,1.07,15.6,14.6,3.3,48.7,2.8,219,0.1,7678
16,Skye,Initiator,0.92,13.6,14.8,7.6,48.6,4.8,196,0.1,12854
17,Omen,Controller,0.96,14.5,15,5.8,48.0,7.3,205,0.1,19659
18,Sova,Initiator,0.95,14.2,14.8,5.4,47.9,3.0,203,0.1,8127
19,Harbor,Controller,0.91,13.7,15.1,5.7,47.2,1.9,195,0.1,5194
20,Yoru,Duelist,0.98,15.1,15.4,4.3,46.6,2.2,214,0.1,6025
21,KAY/O,Initiator,0.89,13.6,15.4,8.6,45.7,3.5,199,0.1,9533
