Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Gekko,0.88,12.5,14.1,4.9,54.2,3.2,184,0.1,1680
2,Killjoy,0.88,12,13.7,4.1,51.6,5.4,180,0.2,2808
3,Brimstone,0.85,12.3,14.4,6.2,51.3,3.4,185,0.1,1763
4,KAY/O,0.81,12,14.9,8.2,50.9,3.4,179,0.1,1769
5,Omen,0.87,12.7,14.7,5.1,50.5,5.6,185,0.1,2923
6,Raze,0.91,13.6,14.9,5.2,50.4,7.7,208,0.1,4018
7,Cypher,0.91,12.6,13.9,4.9,50.0,2.8,181,0.2,1455
8,Sage,0.76,10.9,14.3,6.2,49.7,13.6,161,0.1,7070
9,Chamber,0.9,12.7,14.1,3.5,49.6,2.1,190,0.1,1098
10,Fade,0.78,11.5,14.7,6.2,49.6,5.3,171,0.1,2738
11,Skye,0.81,11.5,14.3,7.3,49.2,3.9,173,0.1,2047
12,Reyna,0.99,14.7,14.8,4.7,48.9,10.9,215,0.1,5663
13,Phoenix,0.91,13.3,14.7,4.5,48.4,4.7,197,0.1,2458
14,Neon,0.87,13,15,4.1,48.3,4.7,195,0.1,2427
15,Yoru,0.87,12.8,14.8,4.3,48.0,5.2,189,0.1,2689
16,Viper,0.8,11.8,14.7,5.2,47.6,4.0,174,0.1,2078
17,Sova,0.84,12.3,14.6,5.1,47.6,4.1,182,0.1,2132
18,Harbor,0.78,11.6,14.9,5.3,47.2,1.6,172,0.1,813
19,Astra,0.94,13.4,14.2,4.8,47.2,0.7,192,0.2,371
20,Jett,0.91,13.6,15,3.9,47.1,6.1,201,0.1,3154
21,Breach,0.84,12.4,14.7,5.7,46.3,1.8,185,0.1,925
