Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Astra,1.03,14.9,14.4,5.6,51.9,1.4,206,0.2,3903
2,Gekko,0.97,14.3,14.7,4.9,51.2,5.1,200,0.1,14059
3,Killjoy,0.99,14,14.1,4,50.8,6.6,201,0.2,18220
4,Phoenix,1.14,17.2,15.1,4.7,50.6,3.8,244,0.1,10415
5,Reyna,1.18,18.1,15.3,4.6,50.5,12.2,256,0.1,33680
6,Sage,0.92,13.4,14.7,7,50.4,10.2,191,0.1,28220
7,Brimstone,0.97,14.4,14.8,7.4,50.3,4.8,208,0.1,13193
8,Skye,0.94,13.9,14.8,7.7,50.3,4.7,198,0.1,12927
9,Breach,0.94,14.4,15.2,6.2,50.2,3.7,204,0.1,10177
10,Neon,1.03,16.5,16,4.3,50.0,2.8,234,0.1,7693
11,Viper,0.99,14.5,14.7,5.5,49.6,2.9,206,0.1,8101
12,Jett,1.1,17.1,15.5,4,49.4,7.2,243,0.1,19859
13,Raze,1.05,16.4,15.6,5.2,49.3,6.8,242,0.1,18855
14,Cypher,0.99,14.2,14.4,4.9,49.3,3.0,199,0.1,8251
15,Chamber,1.07,15.8,14.8,3.3,49.0,3.0,218,0.1,8358
16,Fade,0.93,14.1,15.2,6.2,48.9,3.9,199,0.1,10693
17,Omen,0.99,14.9,15.1,6,48.8,7.4,210,0.1,20297
18,Sova,0.97,14.3,14.7,5.3,48.6,2.8,205,0.1,7799
19,Yoru,1,15.5,15.5,4.4,46.7,2.1,219,0.1,5763
20,Harbor,0.91,13.8,15.1,5.7,46.2,2.1,195,0.1,5833
21,KAY/O,0.9,13.9,15.4,8.6,45.4,3.3,203,0.1,9162
