Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.96,14.3,14.9,5,51.5,6.0,196,0.1,13129
2,Sage,Sentinel,0.92,13.7,14.9,7.1,51.4,7.8,191,0.1,16999
3,Brimstone,Controller,0.97,14.6,15,8.1,51.3,4.6,206,0.1,9987
4,Sova,Initiator,0.98,14.5,14.8,5.4,51.3,2.4,203,0.1,5175
5,Phoenix,Duelist,1.12,17.3,15.5,4.6,51.1,3.2,242,0.1,7051
6,Breach,Initiator,0.94,14.6,15.5,6.8,50.6,4.8,202,0.1,10565
7,Killjoy,Sentinel,1,14.3,14.3,3.8,50.2,7.1,200,0.2,15528
8,Viper,Controller,0.98,14.6,14.8,5.6,50.0,2.2,204,0.2,4866
9,Reyna,Duelist,1.14,17.9,15.6,4.5,50.0,10.8,248,0.1,23641
10,Raze,Duelist,1.07,16.8,15.8,5,49.4,7.2,245,0.1,15814
11,Astra,Controller,1.02,15.1,14.7,5.9,49.3,2.1,207,0.1,4694
12,Skye,Initiator,0.94,14.1,15,7.8,49.2,4.8,198,0.1,10554
13,Jett,Duelist,1.08,17.2,15.9,3.8,49.1,9.0,240,0.1,19777
14,Fade,Initiator,0.94,14.3,15.3,6.3,48.8,3.8,198,0.1,8340
15,Omen,Controller,0.98,14.9,15.2,6.7,48.6,7.9,206,0.1,17304
16,Neon,Duelist,0.99,16.3,16.5,4.4,48.5,2.1,230,0.1,4571
17,Chamber,Sentinel,1.09,16.3,14.9,3,48.1,3.7,222,0.1,8004
18,Harbor,Controller,0.92,13.9,15.2,5.9,47.9,2.6,192,0.1,5667
19,Cypher,Sentinel,0.99,14.6,14.7,4.8,47.8,3.4,199,0.2,7335
20,KAY/O,Initiator,0.91,14.2,15.7,9.1,45.1,3.1,203,0.1,6816
21,Yoru,Duelist,0.99,15.6,15.7,4.2,45.0,1.4,217,0.1,2962
