Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.93,13.7,14.6,4.8,51.2,4.4,195,0.1,8824
2,Raze,Duelist,1.01,15.3,15.2,5.2,50.5,6.9,231,0.1,13902
3,Reyna,Duelist,1.12,16.9,15.1,4.7,50.4,11.0,243,0.1,22310
4,Astra,Controller,0.99,14,14.2,5.1,50.4,1.0,202,0.1,2128
5,Fade,Initiator,0.89,13.2,14.8,6.1,50.1,4.4,190,0.1,8857
6,Killjoy,Sentinel,0.95,13.4,14.1,4.2,50.1,6.6,196,0.2,13464
7,Sage,Sentinel,0.87,12.6,14.4,6.8,49.8,12.2,184,0.1,24774
8,Brimstone,Controller,0.93,13.7,14.8,6.9,49.8,4.4,201,0.1,9002
9,Phoenix,Duelist,1.05,15.7,14.9,4.7,49.6,4.1,228,0.1,8340
10,Breach,Initiator,0.93,14.1,15.1,6,49.6,2.9,202,0.1,5804
11,Chamber,Sentinel,1.02,14.7,14.5,3.4,49.5,2.5,209,0.1,5130
12,Jett,Duelist,1.04,15.8,15.2,4,49.2,6.0,228,0.1,12174
13,Skye,Initiator,0.89,13.1,14.7,7.6,49.1,4.7,191,0.1,9435
14,Omen,Controller,0.95,14.2,15,5.6,48.8,6.9,203,0.1,13991
15,Cypher,Sentinel,0.95,13.5,14.2,4.9,48.4,2.9,191,0.2,5863
16,Harbor,Controller,0.87,13,14.9,5.7,48.1,1.8,189,0.1,3678
17,KAY/O,Initiator,0.86,13.2,15.3,8.5,48.0,3.6,194,0.1,7241
18,Viper,Controller,0.93,13.5,14.5,5.3,48.0,3.6,197,0.1,7261
19,Neon,Duelist,0.97,15.1,15.6,4.3,47.5,3.5,221,0.1,7155
20,Sova,Initiator,0.92,13.6,14.8,5.3,47.2,3.6,198,0.1,7321
21,Yoru,Duelist,0.94,14.4,15.3,4.3,45.7,3.0,207,0.1,6022
