Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,Duelist,1.11,17.4,15.7,5,51.9,3.2,242,0.1,4011
2,Brimstone,Controller,0.98,14.8,15,10.4,51.9,5.3,209,0.1,6694
3,Sova,Initiator,1.03,15.1,14.7,6.4,50.9,9.6,210,0.2,12154
4,Reyna,Duelist,1.12,17.7,15.9,4.6,50.6,9.5,243,0.1,12078
5,Astra,Controller,1.04,15.5,14.9,8,50.5,2.6,210,0.1,3347
6,Raze,Duelist,1.03,16.5,16,5.1,50.4,4.7,238,0.1,5930
7,Killjoy,Sentinel,1.03,14.8,14.4,3.9,50.2,11.0,204,0.2,13932
8,Cypher,Sentinel,1.01,14.9,14.7,5,50.2,3.3,200,0.2,4237
9,Sage,Sentinel,0.95,14.3,15,7.3,50.1,5.3,196,0.1,6703
10,Jett,Duelist,1.09,17.6,16.1,3.7,49.7,14.5,240,0.1,18352
11,Omen,Controller,0.98,14.9,15.3,9,49.0,10.6,205,0.1,13462
12,Skye,Initiator,0.95,14.6,15.4,7.8,49.0,2.4,201,0.1,3007
13,Chamber,Sentinel,1.08,16.3,15.1,2.9,49.0,1.9,220,0.1,2406
14,Gekko,Initiator,0.96,14.7,15.3,5.4,48.7,6.5,197,0.1,8231
15,Viper,Controller,1,15.2,15.2,6.1,47.8,0.5,206,0.1,682
16,Yoru,Duelist,1.03,16.5,16,4.5,47.5,0.8,223,0.1,970
17,Fade,Initiator,0.95,14.4,15.1,6.8,46.5,2.7,199,0.1,3420
18,KAY/O,Initiator,0.94,14.7,15.7,9.4,45.6,4.0,206,0.1,5070
19,Breach,Initiator,0.93,14.6,15.6,7.2,44.6,0.9,203,0.1,1161
20,Neon,Duelist,0.99,16.5,16.6,4.3,44.3,0.6,228,0.1,775
21,Harbor,Controller,0.93,14,15.1,6.5,39.7,0.3,195,0.1,368
