Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,Duelist,1.11,17.4,15.6,4.9,51.5,3.3,243,0.1,6527
2,Brimstone,Controller,0.97,14.6,15,9.4,51.5,5.9,207,0.1,11623
3,Sage,Sentinel,0.94,14,14.9,7.2,50.9,7.5,194,0.1,14823
4,Reyna,Duelist,1.13,17.8,15.8,4.7,50.7,10.6,246,0.1,20840
5,Sova,Initiator,1.02,14.9,14.7,6,50.4,7.8,209,0.2,15390
6,Killjoy,Sentinel,1.01,14.5,14.3,3.9,50.2,10.5,201,0.2,20783
7,Jett,Duelist,1.09,17.4,16,3.8,50.1,11.8,240,0.1,23304
8,Raze,Duelist,1.04,16.7,16,5.2,50.1,5.4,241,0.1,10665
9,Skye,Initiator,0.93,14.3,15.3,7.8,49.4,2.7,199,0.1,5395
10,Fade,Initiator,0.95,14.4,15.1,6.5,49.3,3.0,199,0.1,5896
11,Astra,Controller,1.03,15.2,14.8,7.4,48.9,2.1,208,0.1,4182
12,Gekko,Initiator,0.95,14.4,15.2,5.1,48.9,5.8,196,0.1,11504
13,Yoru,Duelist,1.02,16.1,15.8,4.5,48.6,1.0,221,0.1,1957
14,Chamber,Sentinel,1.07,16.3,15.2,3,48.5,2.2,220,0.1,4320
15,Cypher,Sentinel,0.99,14.7,14.8,5.1,48.4,2.9,199,0.2,5809
16,Viper,Controller,0.99,14.8,14.9,5.9,48.4,1.3,204,0.2,2538
17,Omen,Controller,0.98,14.9,15.2,8.1,48.4,9.5,206,0.1,18699
18,Breach,Initiator,0.92,14.3,15.5,6.9,47.5,1.4,201,0.1,2755
19,KAY/O,Initiator,0.93,14.4,15.6,8.9,46.7,3.8,204,0.1,7428
20,Neon,Duelist,0.99,16.3,16.5,4.2,45.7,1.0,226,0.1,1966
21,Harbor,Controller,0.93,14.4,15.5,6.1,45.4,0.6,197,0.1,1102
