Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,0.97,14.5,15,9.3,51.5,6.2,207,0.1,13601
2,Phoenix,Duelist,1.1,17.3,15.7,4.9,51.2,3.3,241,0.1,7351
3,Reyna,Duelist,1.12,17.8,15.8,4.7,50.8,10.8,245,0.1,23848
4,Sage,Sentinel,0.92,13.8,14.9,7.2,50.6,7.9,191,0.1,17443
5,Sova,Initiator,1.02,14.9,14.6,6,50.2,7.2,208,0.2,15963
6,Cypher,Sentinel,1,14.6,14.6,5.2,49.9,3.0,198,0.2,6555
7,Killjoy,Sentinel,1.01,14.4,14.3,3.9,49.9,10.6,201,0.2,23303
8,Astra,Controller,1.03,15.2,14.7,7.4,49.9,2.0,208,0.1,4488
9,Raze,Duelist,1.04,16.6,15.9,5.1,49.6,5.5,240,0.1,12190
10,Omen,Controller,0.98,14.9,15.2,8,49.2,9.2,205,0.1,20385
11,Chamber,Sentinel,1.08,16.4,15.2,3.1,49.1,2.1,222,0.1,4536
12,Jett,Duelist,1.08,17.4,16,3.8,49.1,11.2,240,0.1,24708
13,Gekko,Initiator,0.94,14.3,15.2,5.1,48.3,5.7,195,0.1,12645
14,Fade,Initiator,0.94,14.2,15.1,6.5,48.1,3.1,197,0.1,6822
15,Viper,Controller,0.98,14.5,14.8,5.9,48.1,1.5,202,0.2,3394
16,Skye,Initiator,0.92,14,15.2,7.7,47.7,2.7,196,0.1,5936
17,Yoru,Duelist,1.04,16.2,15.7,4.5,47.6,1.1,223,0.1,2327
18,Breach,Initiator,0.94,14.6,15.5,6.7,47.6,1.4,204,0.1,3067
19,Harbor,Controller,0.9,13.9,15.4,6.1,46.9,0.6,193,0.1,1351
20,Neon,Duelist,0.99,16,16.3,4.2,46.8,1.2,226,0.1,2600
21,KAY/O,Initiator,0.92,14.4,15.6,8.8,45.7,3.7,204,0.1,8074

