Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,Sentinel,0.96,14.4,14.9,7.3,52.6,5.8,198,0.1,8496
2,Brimstone,Controller,0.97,14.7,15.1,10,51.9,5.6,208,0.1,8154
3,Phoenix,Duelist,1.12,17.7,15.8,5,51.6,3.1,245,0.1,4582
4,Astra,Controller,1.05,15.5,14.8,7.8,51.1,2.5,210,0.2,3689
5,Reyna,Duelist,1.12,17.8,16,4.6,50.4,9.8,243,0.1,14380
6,Killjoy,Sentinel,1.02,14.6,14.3,3.9,50.0,10.7,202,0.2,15663
7,Sova,Initiator,1.03,15.1,14.6,6.2,50.0,9.2,210,0.2,13521
8,Raze,Duelist,1.02,16.5,16.1,5.1,49.9,4.9,236,0.1,7144
9,Cypher,Sentinel,1.02,14.9,14.6,5.2,49.9,3.2,201,0.2,4678
10,Fade,Initiator,0.96,14.5,15.1,6.8,49.5,2.8,199,0.1,4105
11,Omen,Controller,0.99,15.1,15.2,8.7,48.9,10.5,207,0.1,15413
12,Harbor,Controller,0.87,13.7,15.8,6.9,48.9,0.4,190,0.1,526
13,Neon,Duelist,0.99,16.5,16.5,4.1,48.8,0.7,228,0.1,961
14,Jett,Duelist,1.08,17.4,16.1,3.8,48.7,13.7,238,0.1,20038
15,Gekko,Initiator,0.96,14.5,15.2,5.2,48.4,6.5,197,0.1,9565
16,Chamber,Sentinel,1.1,16.6,15.2,2.9,48.4,1.9,221,0.1,2775
17,Skye,Initiator,0.94,14.6,15.5,7.8,48.1,2.4,201,0.1,3536
18,Breach,Initiator,0.93,14.4,15.5,7.2,46.2,1.1,201,0.1,1550
19,Yoru,Duelist,1.04,16.6,15.9,4.7,45.8,0.8,227,0.1,1237
20,Viper,Controller,0.94,14.2,15.1,6.2,45.4,0.7,199,0.1,1063
21,KAY/O,Initiator,0.91,14.4,15.8,9.3,44.7,3.8,203,0.1,5583
