Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,Sentinel,0.93,12.7,13.7,4.5,52.5,7.2,189,0.2,9115
2,Brimstone,Controller,0.9,13.1,14.6,7,51.0,4.1,195,0.1,5245
3,Chamber,Sentinel,0.96,13.8,14.4,3.5,49.9,1.9,199,0.1,2384
4,Astra,Controller,0.94,13.4,14.3,5.5,49.7,0.8,192,0.1,1030
5,Gekko,Initiator,0.86,12.5,14.6,4.7,49.6,3.6,181,0.1,4615
6,Sage,Sentinel,0.82,11.6,14.2,6.8,49.5,13.4,172,0.1,16990
7,Skye,Initiator,0.81,11.9,14.6,7.5,49.3,3.6,176,0.1,4600
8,Raze,Duelist,0.95,14.3,15.1,5.3,49.3,7.3,218,0.1,9344
9,Viper,Controller,0.88,12.7,14.5,5.2,49.1,3.8,186,0.1,4883
10,Sova,Initiator,0.86,12.5,14.5,5.2,48.6,5.1,185,0.1,6524
11,Reyna,Duelist,1,15,15,4.7,48.5,10.9,221,0.1,13835
12,Breach,Initiator,0.86,12.9,15.1,5.7,48.3,1.4,190,0.1,1792
13,Omen,Controller,0.88,13.1,14.9,5.6,48.2,6.5,189,0.1,8245
14,Phoenix,Duelist,0.93,13.8,14.8,4.6,48.0,4.4,206,0.1,5543
15,Fade,Initiator0.79,11.7,14.7,6,48.0,4.8,174,0.1,6070
16,Neon,Duelist,0.88,13.7,15.5,4.3,47.9,3.7,200,0.1,4751
17,Jett,Duelist,0.95,14.5,15.1,3.9,47.6,6.2,211,0.1,7938
18,Cypher,Sentinel,0.88,12.4,14.2,5,47.1,2.7,180,0.1,3413
19,Yoru,Duelist,0.88,13.2,15.1,4.3,46.4,4.1,191,0.1,5205
20,KAY/O,Initiator,0.79,11.9,15.1,7.7,45.7,3.4,179,0.1,4321
21,Harbor,Controller,0.8,11.9,14.8,5.3,44.9,1.1,176,0.1,1404
