Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,0.97,14.4,14.9,8.8,51.5,6.0,206,0.1,16316
2,Phoenix,Duelist,1.1,17,15.4,4.9,51.1,3.4,240,0.1,9165
3,Sova,Initiator,1.01,14.7,14.5,5.8,50.4,6.2,208,0.1,16900
4,Sage,Sentinel,0.91,13.4,14.7,7.2,50.4,9.5,188,0.1,25746
5,Raze,Duelist,1.04,16.4,15.8,5.2,50.2,6.0,240,0.1,16287
6,Killjoy,Sentinel,0.99,14.1,14.2,4.1,50.0,10.6,200,0.2,28726
7,Reyna,Duelist,1.13,17.6,15.6,4.6,50.0,11.3,247,0.1,30708
8,Cypher,Sentinel,1,14.4,14.4,5.2,49.8,2.8,199,0.1,7495
9,Jett,Duelist,1.07,17,15.8,3.9,49.6,9.3,237,0.1,25278
10,Gekko,Initiator,0.94,14.1,15,5,49.1,5.3,195,0.1,14333
11,Chamber,Sentinel,1.07,16.1,15.1,3.2,48.9,2.0,219,0.1,5553
12,Astra,Controller,1.01,14.9,14.7,7,48.8,1.7,206,0.1,4503
13,Viper,Controller,0.97,14.2,14.6,5.6,48.5,2.2,200,0.2,5865
14,Skye,Initiator,0.91,13.8,15.1,7.8,48.1,3.1,195,0.1,8275
15,Omen,Controller,0.97,14.8,15.3,7.4,47.9,8.4,206,0.1,22821
16,Fade,Initiator,0.93,13.9,15,6.3,47.5,3.4,196,0.1,9182
17,Breach,Initiator,0.92,14.2,15.5,6.4,47.2,1.7,202,0.1,4582
18,Neon,Duelist,0.97,15.7,16.2,4.2,46.8,1.6,224,0.1,4276
19,KAY/O,Initiator,0.9,14.1,15.6,8.5,45.6,3.5,201,0.1,9468
20,Yoru,Duelist,0.99,15.5,15.6,4.3,45.4,1.4,216,0.1,3765
21,Harbor,Controller,0.9,13.9,15.5,5.9,43.7,0.7,194,0.1,1997
