Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,0.97,14.5,14.9,8.8,51.3,5.9,208,0.1,14968
2,Sova,Initiator,1.03,14.9,14.5,5.9,50.8,6.5,210,0.1,16465
3,Sage,Sentinel,0.92,13.6,14.8,7.2,50.6,8.8,191,0.1,22189
4,Phoenix,Duelist,1.11,17.2,15.5,4.9,50.4,3.5,242,0.1,8718
5,Astra,Controller,1.05,15.4,14.7,7.1,50.2,1.7,211,0.1,4339
6,Killjoy,Sentinel,1,14.3,14.2,4,50.2,10.5,201,0.2,26453
7,Omen,Controller,1,15.1,15.1,7.6,49.9,8.7,209,0.1,21890
8,Reyna,Duelist,1.13,17.8,15.7,4.6,49.7,11.4,248,0.1,28729
9,Gekko,Initiator,0.94,14.2,15.1,5.1,49.7,5.4,196,0.1,13699
10,Jett,Duelist,1.09,17.3,15.9,3.9,49.4,10.1,241,0.1,25471
11,Raze,Duelist,1.04,16.5,15.9,5.2,49.4,5.8,241,0.1,14757
12,Skye,Initiator,0.94,14.1,15.1,7.8,49.2,3.0,199,0.1,7516
13,Viper,Controller,0.99,14.6,14.8,5.6,48.8,2.0,203,0.1,4977
14,Fade,Initiator,0.95,14.3,15,6.4,48.7,3.3,201,0.1,8235
15,Cypher,Sentinel,0.99,14.4,14.5,5,48.2,2.8,199,0.2,7088
16,Neon,Duelist,0.99,16.1,16.3,4.2,47.5,1.5,227,0.1,3745
17,Chamber,Sentinel,1.08,16.2,15,3.1,47.4,2.2,221,0.1,5441
18,Breach,Initiator,0.93,14.5,15.7,6.5,47.3,1.6,203,0.1,4039
19,Harbor,Controller,0.92,13.9,15.2,6,47.1,0.7,195,0.1,1732
20,KAY/O,Initiator,0.92,14.2,15.5,8.5,46.9,3.5,202,0.1,8742
21,Yoru,Duelist,0.99,15.8,15.9,4.4,44.3,1.3,219,0.1,3190
