Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,1,14.6,14.6,7.9,51.9,8.0,210,0.1,22135
2,Killjoy,1.01,14.3,14.1,4.2,51.6,7.3,204,0.2,20373
3,Reyna,1.2,18.1,15.1,4.6,51.0,12.1,257,0.1,33809
4,Phoenix,1.13,16.9,15,4.7,50.8,3.1,241,0.1,8751
5,Sage,0.91,13.2,14.5,6.9,50.4,9.9,189,0.1,27609
6,Gekko,0.97,14.2,14.7,4.9,50.4,5.0,200,0.1,13831
7,Cypher,1.02,14.6,14.3,5,50.2,3.5,203,0.1,9621
8,Raze,1.07,16.5,15.4,4.9,50.2,6.2,241,0.1,17160
9,Jett,1.13,17.5,15.5,4,49.9,7.8,246,0.1,21707
10,Breach,0.96,14.6,15.1,6.3,49.8,5.9,207,0.1,16549
11,Fade,0.94,14,14.9,6.2,49.4,3.7,200,0.1,10351
12,Viper,0.99,14.3,14.5,5.5,49.4,4.2,204,0.1,11563
13,Neon,1.04,16.5,15.9,4.5,49.3,3.4,237,0.1,9324
14,Skye,0.94,14,14.9,7.3,49.1,3.5,199,0.1,9750
15,Astra,1.04,15,14.4,5.7,49.0,1.1,209,0.1,3054
16,Chamber,1.09,16.1,14.8,3.3,48.1,2.5,222,0.1,6907
17,Omen,0.98,14.8,15.1,6.1,48.0,4.6,208,0.1,12771
18,Sova,0.98,14.4,14.7,5.4,47.2,2.3,208,0.1,6312
19,Yoru,1.02,15.7,15.3,4.3,47.0,1.8,221,0.1,5023
20,KAY/O,0.91,14,15.4,8.5,46.1,3.0,204,0.1,8422
21,Harbor,0.91,13.6,15,5.7,46.0,1.2,195,0.1,3292

