Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Reyna,Duelist,1.18,18.1,15.4,4.6,51.2,11.4,253,0.1,28263
2,Killjoy,Sentinel,1,14.3,14.3,4.2,50.7,7.5,202,0.2,18529
3,Brimstone,Controller,0.99,14.6,14.7,8.2,50.6,8.8,208,0.1,21850
4,Viper,Controller,0.98,14.3,14.6,5.6,50.3,4.2,202,0.2,10392
5,Sage,Sentinel,0.91,13.3,14.7,7.1,50.2,8.8,188,0.1,22005
6,Jett,Duelist,1.11,17.3,15.6,3.9,49.9,8.5,243,0.1,21081
7,Gekko,Initiator,0.95,14.2,14.9,4.9,49.8,5.5,195,0.1,13571
8,Fade,Initiator,0.94,14.1,14.9,6.2,49.7,3.8,198,0.1,9363
9,Raze,Duelist,1.05,16.5,15.7,4.9,49.3,6.2,240,0.1,15309
10,Breach,Initiator,0.94,14.4,15.3,6.4,49.3,6.9,202,0.1,17256
11,Chamber,Sentinel,1.08,16.1,15,3.3,49.2,2.7,220,0.1,6655
12,Phoenix,Duelist,1.11,16.9,15.2,4.6,48.9,2.9,240,0.1,7221
13,Neon,Duelist,1.03,16.6,16.2,4.4,48.5,3.2,235,0.1,8043
14,Skye,Initiator,0.94,14.1,15,7.3,48.3,3.2,198,0.1,8038
15,Cypher,Sentinel,1,14.4,14.4,4.9,48.0,3.8,200,0.1,9541
16,Sova,Initiator,0.96,14.3,15,5.5,47.9,1.9,204,0.1,4656
17,Astra,Controller,1.04,15.1,14.5,6,46.9,1.2,211,0.1,2870
18,Omen,Controller,0.96,14.5,15.2,6.3,46.9,4.2,204,0.1,10389
19,Yoru,Duelist,1.03,15.9,15.5,4.4,46.9,1.5,222,0.1,3727
20,Harbor,Controller,0.9,13.7,15.2,5.8,46.7,1.1,191,0.1,2704
21,KAY/O,Initiator,0.91,14.1,15.5,8.6,45.6,2.9,204,0.1,7186
