Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,0.99,14.4,14.5,7.7,51.6,7.7,208,0.1,21329
2,Killjoy,Sentinel,0.99,14,14.2,4.3,50.9,7.1,201,0.2,19756
3,Gekko,Initiator,0.96,14,14.7,4.9,50.8,5.0,197,0.1,13833
4,Reyna,Duelist,1.19,18,15.1,4.7,50.8,11.8,256,0.1,32706
5,Phoenix,Duelist,1.11,16.7,15,4.7,50.4,3.3,239,0.1,9048
6,Jett,Duelist,1.11,17.1,15.4,4,49.9,7.2,244,0.1,19833
7,Raze,Duelist,1.05,16.2,15.3,4.9,49.6,6.1,238,0.1,16737
8,Sage,Sentinel,0.91,13.2,14.6,7,49.3,10.4,189,0.1,28864
9,Fade,Initiator,0.94,14,14.9,6.3,49.1,3.8,199,0.1,10467
10,Cypher,Sentinel,0.99,14.1,14.3,5,49.1,3.4,199,0.1,9277
11,Breach,Initiator,0.94,14.2,15.2,6.2,48.9,5.7,202,0.1,15814
12,Skye,Initiator,0.92,13.7,14.9,7.3,48.8,3.6,197,0.1,10068
13,Chamber,Sentinel,1.07,15.8,14.8,3.4,48.7,2.5,220,0.1,7014
14,Viper,Controller,0.97,14.1,14.5,5.5,48.3,4.0,203,0.1,11198
15,Sova,Initiator,0.95,14.1,14.8,5.4,48.3,2.5,204,0.1,6801
16,Neon,Duelist,1.02,16.2,16,4.4,48.0,3.5,233,0.1,9625
17,Omen,Controller,0.97,14.6,15,6,47.2,5.1,207,0.1,14034
18,Yoru,Duelist,1.01,15.5,15.3,4.4,46.7,1.9,219,0.1,5374
19,KAY/O,Initiator,0.91,13.8,15.2,8.4,46.6,3.1,203,0.1,8534
20,Astra,Controller,1.01,14.6,14.5,5.8,46.1,1.0,205,0.1,2772
21,Harbor,Controller,0.91,13.6,15,5.6,45.5,1.2,194,0.1,3426
