Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,Duelist,1.13,17.1,15.1,4.5,52.0,2.3,240,0.1,4200
2,Brimstone,Controller,1,14.8,14.7,8.7,51.8,10.3,208,0.1,18561
3,Viper,Controller,1,14.6,14.7,5.7,51.6,4.1,203,0.2,7393
4,Reyna,Duelist,1.17,18.1,15.5,4.6,50.9,10.4,250,0.1,18705
5,Fade,Initiator,0.97,14.5,14.9,6.3,50.5,3.6,200,0.1,6528
6,Killjoy,Sentinel,1.01,14.5,14.4,4,50.4,7.8,202,0.2,14070
7,Gekko,Initiator,0.96,14.3,14.9,5,50.3,5.9,195,0.1,10584
8,Raze,Duelist,1.07,16.9,15.7,4.8,50.1,6.4,242,0.1,11474
9,Jett,Duelist,1.11,17.6,15.9,3.9,50.1,10.3,243,0.1,18573
10,Sage,Sentinel,0.93,13.9,14.9,7,50.1,7.0,192,0.1,12640
11,Chamber,Sentinel,1.08,16.3,15.1,3,49.6,2.8,220,0.1,4952
12,Breach,Initiator,0.96,14.7,15.3,6.9,49.2,8.7,202,0.1,15697
13,Neon,Duelist,1.03,16.8,16.3,4.4,49.1,3.0,236,0.1,5321
14,Skye,Initiator,0.96,14.5,15.2,7.3,48.8,2.8,201,0.1,4995
15,Cypher,Sentinel,1.01,14.8,14.7,5,48.8,4.4,202,0.1,7834
16,Sova,Initiator,0.99,14.7,14.8,5.4,47.0,1.2,206,0.1,2181
17,Yoru,Duelist,1.02,16.2,15.8,4.4,46.6,1.1,222,0.1,1921
18,Omen,Controller,0.97,14.9,15.4,6.9,46.5,3.0,205,0.1,5349
19,Harbor,Controller,0.92,14,15.3,5.8,45.7,0.9,193,0.1,1638
20,KAY/O,Initiator,0.92,14.2,15.5,9,45.4,2.9,204,0.1,5276
21,Astra,Controller,1.03,15.1,14.8,6.3,43.6,1.2,209,0.1,2135
