Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.96,13.9,14.6,4.9,52.0,4.5,198,0.1,10171
2,Reyna,Duelist,1.17,17.5,15,4.7,51.8,11.7,251,0.1,26490
3,Astra,Controller,1.03,14.5,14.2,5.5,51.5,0.9,206,0.1,1944
4,Killjoy,Sentinel,0.97,13.6,14,4.3,51.1,7.2,199,0.2,16257
5,Brimstone,Controller,0.97,14.1,14.5,7.3,50.8,6.8,205,0.1,15367
6,Breach,Initiator,0.93,14,15,6,50.2,4.5,203,0.1,10120
7,Fade,Initiator,0.92,13.6,14.8,6.3,50.1,4.0,196,0.1,9171
8,Raze,Duelist,1.02,15.5,15.2,5,50.0,6.3,232,0.1,14161
9,Viper,Controller,0.95,13.8,14.5,5.5,49.7,4.1,199,0.1,9249
10,Sage,Sentinel,0.88,12.7,14.5,6.9,49.4,11.8,184,0.1,26671
11,Neon,Duelist,1,15.7,15.7,4.5,49.2,3.7,228,0.1,8395
12,Cypher,Sentinel,0.97,13.7,14.1,5,49.1,3.3,196,0.1,7380
13,Jett,Duelist,1.09,16.5,15.1,4.1,48.9,6.2,238,0.1,14065
14,Chamber,Sentinel,1.04,15.2,14.5,3.5,48.8,2.2,214,0.1,5036
15,Skye,Initiator,0.91,13.4,14.8,7.4,48.8,3.9,195,0.1,8735
16,Omen,Controller,0.97,14.4,14.8,5.7,48.5,5.5,206,0.1,12469
17,Sova,Initiator,0.95,13.8,14.6,5.4,48.5,3.0,201,0.1,6800
18,Phoenix,Duelist,1.08,16.1,14.9,4.6,48.1,3.6,233,0.1,8189
19,Yoru,Duelist,0.98,14.9,15.2,4.5,46.3,2.4,212,0.1,5500
20,KAY/O,Initiator,0.88,13.3,15.1,8.2,46.3,3.3,198,0.1,7423
21,Harbor,Controller,0.88,13.2,15.1,5.6,45.2,1.3,190,0.1,2905
