Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.96,14.4,15,5,50.9,5.7,196,0.1,11222
2,Killjoy,Sentinel,1,14.4,14.4,4.1,50.6,7.6,202,0.2,14830
3,Brimstone,Controller,0.99,14.6,14.7,8.5,50.6,10.0,207,0.2,19488
4,Reyna,Duelist,1.16,18,15.5,4.6,50.3,10.5,250,0.1,20561
5,Phoenix,Duelist,1.12,17.2,15.4,4.6,50.0,2.6,240,0.1,5096
6,Viper,Controller,0.98,14.4,14.8,5.7,49.9,4.1,201,0.2,8034
7,Neon,Duelist,1.02,16.5,16.3,4.4,49.9,2.9,233,0.1,5677
8,Chamber,Sentinel,1.09,16.4,15,3.1,49.7,2.7,222,0.1,5231
9,Sage,Sentinel,0.92,13.5,14.7,7,49.5,7.5,190,0.1,14627
10,Raze,Duelist,1.06,16.7,15.8,4.8,49.2,6.3,241,0.1,12432
11,Cypher,Sentinel,1,14.6,14.6,4.9,49.1,4.3,200,0.1,8327
12,Breach,Initiator,0.94,14.5,15.4,6.8,49.0,8.3,202,0.1,16238
13,Jett,Duelist,1.1,17.4,15.9,3.8,48.8,9.7,241,0.1,19073
14,Fade,Initiator,0.95,14.3,15.1,6.2,48.2,3.8,199,0.1,7428
15,Sova,Initiator,0.96,14.3,14.9,5.4,47.6,1.5,203,0.1,2963
16,KAY/O,Initiator,0.94,14.5,15.5,8.9,46.8,2.9,207,0.1,5691
17,Skye,Initiator,0.93,14,15.1,7.3,46.8,2.8,196,0.1,5569
18,Harbor,Controller,0.91,13.8,15.2,6,46.7,1.0,190,0.1,1965
19,Astra,Controller,1.04,15.4,14.8,6.4,46.5,1.2,210,0.1,2376
20,Omen,Controller,0.97,14.7,15.2,6.8,46.1,3.4,204,0.1,6679
21,Yoru,Duelist,1.02,15.9,15.6,4.3,45.5,1.2,222,0.1,2324
