Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Killjoy,Sentinel,0.9,12.4,13.8,4.4,51.7,6.1,185,0.2,7611
2,Brimstone,Controller,0.91,13.1,14.4,6.5,51.6,4.7,192,0.1,5904
3,Gekko,Initiator,0.86,12.5,14.5,4.7,50.2,3.7,182,0.1,4651
4,Raze,Duelist,0.94,14,15,5,50.0,6.9,213,0.1,8658
5,Reyna,Duelist,1.04,15.4,14.8,4.7,49.4,11.0,226,0.1,13792
6,Phoenix,Duelist,0.96,14.1,14.7,4.6,49.3,4.5,208,0.1,5608
7,Sage,Sentinel,0.79,11.4,14.3,6.5,49.2,13.5,168,0.1,16973
8,Breach,Initiator,0.88,13.2,15,5.8,49.1,2.6,193,0.1,3311
9,Cypher,Sentinel,0.88,12.5,14.2,4.9,48.8,2.9,182,0.1,3585
10,Viper,Controller,0.84,12.1,14.4,5,48.7,4.4,180,0.1,5496
11,Sova,Initiator,0.83,12.2,14.6,5.1,48.6,3.9,181,0.1,4924
12,Neon,Duelist,0.9,13.7,15.2,4.3,48.3,4.4,203,0.1,5520
13,Jett,Duelist,0.94,14.1,15,4.1,47.4,5.6,208,0.1,7064
14,Fade,Initiator,0.81,11.9,14.7,6.1,47.2,4.9,177,0.1,6116
15,Omen,Controller,0.86,12.7,14.8,5,47.0,5.7,186,0.1,7143
16,Astra,Controller,0.92,13.2,14.4,4.9,46.7,0.7,189,0.2,823
17,Skye,Initiator,0.82,12,14.6,7.1,46.0,3.9,179,0.1,4926
18,Harbor,Controller,0.8,12,14.9,5.3,45.9,1.3,177,0.1,1616
19,Chamber,Sentinel,0.92,13.5,14.6,3.6,45.8,2.0,194,0.1,2568
20,KAY/O,Initiator,0.8,12.1,15.1,7.9,45.6,3.3,183,0.1,4147
21,Yoru,Duelist,0.88,13.3,15.1,4.3,45.5,4.2,192,0.1,5299
