Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Killjoy,Sentinel,1.03,14.9,14.4,3.9,51.6,8.0,204,0.2,10083
2,Sage,Sentinel,0.96,14.2,14.9,7,51.4,5.4,194,0.2,6863
3,Brimstone,Controller,1,14.8,14.8,8.9,50.9,11.8,207,0.2,14940
4,Reyna,Duelist,1.15,18,15.7,4.5,50.4,9.2,246,0.1,11553
5,Fade,Initiator,0.96,14.5,15.1,6.4,49.9,3.5,197,0.1,4382
6,Raze,Duelist,1.06,17,15.9,4.7,49.6,6.8,240,0.1,8592
7,Phoenix,Duelist,1.11,17.3,15.6,4.7,49.3,2.0,239,0.1,2474
8,Breach,Initiator,0.95,14.6,15.4,7.2,49.1,10.4,201,0.1,13143
9,Sova,Initiator,1.01,15,14.9,5.6,49.0,0.8,209,0.1,979
10,Skye,Initiator,0.94,14.3,15.3,7.3,48.9,2.1,197,0.1,2675
11,Jett,Duelist,1.1,17.5,15.9,3.7,48.9,11.8,241,0.1,14837
12,Cypher,Sentinel,1.02,15,14.8,4.9,48.3,5.2,204,0.1,6510
13,Gekko,Initiator,0.96,14.4,15,5.1,48.3,6.5,195,0.1,8171
14,Yoru,Duelist,1.01,16.2,15.9,4.4,48.0,0.9,220,0.1,1149
15,Astra,Controller,1.02,15.1,14.8,6.7,48.0,1.1,206,0.1,1403
16,Chamber,Sentinel,1.08,16.3,15.2,3,48.0,2.5,218,0.1,3210
17,Neon,Duelist,1,16.6,16.6,4.4,47.9,2.6,231,0.1,3278
18,Viper,Controller,1,14.8,14.9,5.8,47.5,3.9,204,0.2,4938
19,KAY/O,Initiator,0.91,14.5,15.8,9.4,44.1,2.7,203,0.1,3466
20,Omen,Controller,0.97,14.9,15.5,7.1,43.8,2.0,205,0.1,2512
21,Harbor,Controller,0.91,14.2,15.6,6.3,42.3,0.7,192,0.1,939
