Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Killjoy,Sentinel,1.01,14.4,14.3,4.2,51.9,7.4,203,0.2,17118
2,Phoenix,Duelist,1.13,17.3,15.2,4.6,51.3,2.8,243,0.1,6553
3,Brimstone,Controller,0.99,14.6,14.7,8.2,51.1,9.1,208,0.1,21144
4,Chamber,Sentinel,1.1,16.4,14.9,3.1,50.6,2.7,223,0.1,6287
5,Reyna,Duelist,1.17,18,15.4,4.6,50.5,11.3,252,0.1,26099
6,Gekko,Initiator,0.95,14,14.8,4.9,50.4,5.5,195,0.1,12719
7,Skye,Initiator,0.95,14.2,15,7.3,50.0,3.1,199,0.1,7138
8,Raze,Duelist,1.07,16.7,15.6,4.8,50.0,6.1,240,0.1,14104
9,Sage,Sentinel,0.91,13.5,14.7,7,49.8,8.5,189,0.1,19704
10,Jett,Duelist,1.11,17.4,15.7,3.9,49.6,9.1,244,0.1,21004
11,Fade,Initiator,0.95,14.3,14.9,6.2,49.6,3.7,200,0.1,8528
12,Viper,Controller,0.99,14.4,14.6,5.6,49.4,4.1,203,0.2,9444
13,Neon,Duelist,1.03,16.7,16.2,4.3,49.4,3.2,235,0.1,7348
14,Harbor,Controller,0.93,14,15.1,5.9,48.9,1.1,196,0.1,2540
15,Sova,Initiator,0.97,14.3,14.7,5.4,48.6,1.8,204,0.1,4113
16,Cypher,Sentinel,1.01,14.6,14.5,4.9,48.3,3.8,202,0.1,8795
17,Yoru,Duelist,1.02,15.9,15.5,4.4,48.2,1.3,221,0.1,2929
18,Breach,Initiator,0.95,14.5,15.3,6.6,47.8,7.3,203,0.1,16795
19,Astra,Controller,1.03,15,14.6,6.1,47.6,1.2,209,0.1,2778
20,Omen,Controller,0.97,14.9,15.3,6.5,46.5,3.9,206,0.1,9131
21,KAY/O,Initiator,0.92,14.2,15.4,8.7,46.3,3.0,205,0.1,6957
