Rank,Agent,KD,KDA,Win %,Pick %,Avg.,Score,First Blood %,Matches
1,Brimstone,0.96,14.1,14.7,8,51.8,4.5,204,0.1,12130
2,Gekko,0.95,14.2,14.9,5.2,51.1,5.5,196,0.1,14837
3,Phoenix,1.11,16.9,15.2,4.8,50.8,3.9,241,0.1,10380
4,Sage,0.89,13.1,14.8,7.2,50.1,10.5,185,0.1,28160
5,Raze,1.04,16.3,15.6,4.9,50.1,5.0,238,0.1,13460
6,Reyna,1.16,18,15.5,4.7,50.1,11.6,253,0.1,31179
7,Cypher,0.99,14.2,14.4,5,50.0,3.9,197,0.1,10515
8,Killjoy,0.98,13.9,14.2,4.1,49.8,5.8,198,0.2,15670
9,Chamber,1.09,16,14.7,3.3,49.5,3.1,218,0.1,8251
10,Astra,1.03,14.8,14.4,6.1,49.5,2.6,205,0.2,6989
11,Viper,0.97,14.2,14.6,5.9,49.3,5.9,202,0.1,15979
12,Jett,1.09,17,15.7,4,49.0,8.6,240,0.1,23200
13,Skye,0.92,13.8,15,7.8,48.9,3.9,197,0.1,10402
14,Fade,0.93,14,15.1,6.4,48.8,5.8,198,0.1,15510
15,Yoru,1.02,15.8,15.5,4.4,48.1,1.8,223,0.1,4910
16,Sova,0.98,14.2,14.6,5.6,48.0,3.0,203,0.1,8043
17,Omen,0.97,14.8,15.2,6.2,48.0,4.5,207,0.1,12003
18,Neon,0.98,16,16.3,4.3,47.9,2.4,229,0.1,6323
19,Breach,0.92,14.2,15.5,6.3,46.9,1.8,201,0.1,4904
20,Harbor,0.89,13.5,15.2,6.1,46.3,2.5,188,0.1,6814
21,KAY/O,0.9,14,15.5,8.4,45.8,3.4,202,0.1,9235
