Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.83,11.1,13.4,4.8,60.8,2.9,166,0.2,400
2,Astra,Controller,1.08,13.3,12.3,4.2,57.5,0.6,199,0.2,80
3,Chamber,Sentinel,0.89,11.9,13.4,3.4,55.4,2.0,177,0.2,285
4,Sage,Sentinel,0.77,10.4,13.6,5.9,53.1,14.0,157,0.2,1956
5,Killjoy,Sentinel,0.8,10.6,13.3,4,53.1,4.2,166,0.2,586
6,Fade,Initiator,0.74,10.3,13.9,5.7,51.4,5.6,159,0.2,782
7,Omen,Controller,0.82,11.7,14.3,4.5,51.1,5.1,172,0.1,708
8,Yoru,Duelist,0.86,12.1,14.1,4.1,50.9,6.4,182,0.1,888
9,Reyna,Duelist,0.97,13.7,14.1,4.4,50.8,11.6,205,0.1,1613
10,Viper,Controller,0.8,11.1,13.9,4.6,50.7,4.8,169,0.1,665
11,Neon,Duelist,0.77,11.4,14.9,4,49.3,4.9,175,0.1,686
12,Jett,Duelist,0.87,12.4,14.3,3.7,48.3,6.3,187,0.1,875
13,Sova,Initiator,0.8,11.2,14,5,47.7,4.3,171,0.2,600
14,Skye,Initiator,0.75,10.6,14.2,6.6,47.6,3.0,163,0.1,418
15,KAY/O,Initiator,0.72,10,13.9,7.2,47.3,2.9,159,0.1,400
16,Cypher,Sentinel,0.81,11.2,13.9,4.8,46.8,3.0,165,0.2,412
17,Phoenix,Duelist,0.84,11.8,14.1,4.1,46.4,5.2,181,0.1,728
18,Raze,Duelist,0.84,12.2,14.5,4.5,46.4,7.8,190,0.1,1082
19,Breach,Initiator,0.73,10.2,13.9,4.7,45.8,1.3,161,0.1,177
20,Brimstone,Controller,0.8,11.5,14.3,5.8,45.3,3.0,173,0.1,415
21,Harbor,Controller,0.73,10.3,14.2,5,41.9,1.4,159,0.1,191
