Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.98,14.6,14.9,5.4,51.8,6.8,199,0.2,9837
2,Brimstone,Controller,0.95,14.3,15,8.7,51.6,3.4,203,0.1,4891
3,Killjoy,Sentinel,1.03,14.7,14.3,4,50.8,5.6,205,0.2,8157
4,Phoenix,Duelist,1.12,17.6,15.7,5.1,50.6,4.2,246,0.1,6042
5,Sage,Sentinel,0.94,14,14.9,7.2,50.2,7.0,193,0.1,10139
6,Astra,Controller,1.04,15.3,14.7,6.8,50.1,4.7,207,0.2,6841
7,Reyna,Duelist,1.14,18.1,15.8,4.6,50.1,10.2,249,0.1,14790
8,Fade,Initiator,0.97,14.7,15.2,6.7,49.7,7.5,202,0.1,10774
9,Sova,Initiator,1,14.8,14.8,5.9,49.7,2.0,207,0.1,2938
10,Viper,Controller,1.01,14.9,14.8,6.2,49.4,6.6,207,0.2,9491
11,Yoru,Duelist,1.04,16.2,15.7,4.6,49.1,1.3,227,0.1,1819
12,Raze,Duelist,1.05,16.9,16.1,5,48.7,4.3,242,0.1,6267
13,Jett,Duelist,1.08,17.3,16,3.8,48.7,12.5,239,0.1,18142
14,Skye,Initiator,0.94,14.4,15.3,7.9,48.7,3.5,201,0.1,5124
15,Cypher,Sentinel,1,14.7,14.7,4.8,47.9,5.3,200,0.1,7700
16,Neon,Duelist,0.98,16.4,16.7,4.5,47.7,1.5,230,0.1,2217
17,Harbor,Controller,0.91,13.9,15.3,6.4,47.4,3.5,191,0.1,4997
18,Chamber,Sentinel,1.07,16.1,15,3,46.7,3.1,217,0.1,4516
19,Omen,Controller,0.95,14.6,15.4,7,45.6,2.5,204,0.1,3559
20,Breach,Initiator,0.92,14.3,15.6,6.8,45.1,1.1,201,0.1,1570
21,KAY/O,Initiator,0.92,14.4,15.7,8.9,44.9,3.3,205,0.1,4753
