Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Killjoy,Sentinel,0.98,13.7,13.9,4.3,51.3,6.0,199,0.2,16419
2,Gekko,Initiator,0.95,13.9,14.7,5.1,51.0,5.0,196,0.1,13534
3,Viper,Controller,0.97,13.9,14.4,5.9,50.8,5.5,201,0.1,14980
4,Reyna,Duelist,1.17,17.8,15.1,4.8,50.7,11.8,254,0.1,32098
5,Phoenix,Duelist,1.11,16.6,15,4.8,50.6,3.7,238,0.1,10062
6,Brimstone,Controller,0.96,14,14.6,7.4,50.5,4.7,203,0.1,12676
7,Sage,Sentinel,0.88,12.8,14.6,7.1,49.9,11.6,183,0.1,31650
8,Cypher,Sentinel,0.99,14,14.2,5.1,49.5,3.5,197,0.2,9489
9,Astra,Controller,1.03,14.5,14.1,5.9,49.4,1.8,203,0.2,4964
10,Jett,Duelist,1.08,16.6,15.4,4.1,49.3,7.2,237,0.1,19524
11,Fade,Initiator,0.92,13.8,14.9,6.4,49.3,5.3,197,0.1,14338
12,Breach,Initiator,0.94,14.2,15.1,6,49.2,1.9,205,0.1,5034
13,Neon,Duelist,0.99,15.8,15.9,4.4,48.9,2.9,227,0.1,7920
14,Chamber,Sentinel,1.07,15.5,14.5,3.4,48.4,2.9,215,0.1,7891
15,Omen,Controller,0.97,14.6,15.1,5.9,48.4,5.4,206,0.1,14549
16,Raze,Duelist,1.03,15.9,15.4,5,48.4,5.6,235,0.1,15210
17,Skye,Initiator,0.92,13.6,14.9,7.7,48.1,3.9,196,0.1,10675
18,Yoru,Duelist,1.02,15.5,15.3,4.5,47.8,2.5,220,0.1,6680
19,Sova,Initiator,0.95,13.9,14.6,5.5,47.7,3.2,200,0.1,8831
20,Harbor,Controller,0.88,13.3,15,5.9,47.1,2.3,188,0.1,6123
21,KAY/O,Initiator,0.89,13.6,15.2,8.2,46.3,3.4,200,0.1,9225
