Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.91,13.1,14.4,5,52.1,3.7,188,0.1,6188
2,Killjoy,Sentinel,0.93,12.8,13.7,4.4,51.6,6.2,191,0.2,10360
3,Cypher,Sentinel,0.94,13.2,14.1,5.2,50.5,3.3,189,0.2,5480
4,Brimstone,Controller,0.91,13.3,14.5,6.9,50.2,4.0,196,0.1,6679
5,Sage,Sentinel,0.83,11.9,14.4,6.8,50.1,13.5,174,0.1,22474
6,Viper,Controller,0.9,12.8,14.3,5.6,49.9,5.0,189,0.1,8426
7,Astra,Controller,0.96,13.5,14.2,5.5,49.7,1.1,194,0.1,1903
8,Phoenix,Duelist,1.01,14.9,14.8,4.6,49.3,4.0,219,0.1,6688
9,Chamber,Sentinel,0.99,14.2,14.3,3.5,49.2,2.6,202,0.1,4326
10,Reyna,Duelist,1.07,16.1,15,4.8,49.0,11.1,234,0.1,18446
11,Raze,Duelist,0.97,14.7,15.2,5,49.0,6.1,220,0.1,10257
12,Skye,Initiator,0.86,12.6,14.7,7.6,48.9,4.1,186,0.1,6806
13,Jett,Duelist,0.99,14.9,15.1,4.1,48.8,5.7,217,0.1,9581
14,Fade,Initiator,0.86,12.7,14.8,6.3,48.7,5.4,187,0.1,9082
15,Omen,Controller,0.92,13.5,14.8,5.4,48.5,5.6,195,0.1,9304
16,Harbor,Controller,0.83,12.3,14.8,5.6,47.5,1.9,179,0.1,3222
17,KAY/O,Initiator,0.84,12.5,14.9,7.8,47.4,3.5,187,0.1,5773
18,Yoru,Duelist,0.93,14.1,15.1,4.3,46.9,3.8,202,0.1,6399
19,Sova,Initiator,0.88,12.8,14.5,5.2,46.7,3.8,189,0.1,6417
20,Neon,Duelist,0.93,14.5,15.5,4.3,46.5,3.7,212,0.1,6222
21,Breach,Initiator,0.9,13.5,15,5.8,46.4,1.7,198,0.1,2825
