Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.96,14,14.6,5.2,52.4,5.1,197,0.1,14111
2,Phoenix,Duelist,1.12,16.9,15.1,4.8,51.5,3.8,243,0.1,10432
3,Killjoy,Sentinel,1,13.9,13.9,4.2,51.5,6.0,201,0.2,16502
4,Reyna,Duelist,1.19,18.1,15.2,4.8,51.2,12.2,256,0.1,33779
5,Astra,Controller,1.04,14.7,14.1,5.9,51.2,2.0,206,0.1,5595
6,Sage,Sentinel,0.9,13.2,14.6,7.1,50.2,11.1,187,0.1,30603
7,Brimstone,Controller,0.96,14.1,14.7,7.6,49.9,4.6,205,0.1,12848
8,Raze,Duelist,1.05,16.2,15.5,5,49.7,5.4,239,0.1,14819
9,Viper,Controller,0.98,14.3,14.5,5.9,49.6,5.6,203,0.1,15550
10,Jett,Duelist,1.11,17.2,15.4,4.1,49.6,7.7,243,0.1,21359
11,Sova,Initiator,0.98,14.3,14.5,5.5,49.5,3.1,205,0.1,8679
12,Fade,Initiator,0.94,14.1,15,6.5,49.2,5.3,200,0.1,14669
13,Omen,Controller,0.98,14.7,15,5.9,48.7,5.0,208,0.1,13905
14,Cypher,Sentinel,0.98,14,14.2,5.1,48.5,3.7,197,0.2,10342
15,Neon,Duelist,1,16.1,16.1,4.4,48.3,2.7,230,0.1,7526
16,Skye,Initiator,0.93,13.9,14.9,7.7,48.2,3.8,199,0.1,10610
17,Harbor,Controller,0.9,13.5,14.9,5.9,47.8,2.3,191,0.1,6499
18,Chamber,Sentinel,1.08,15.7,14.6,3.4,47.2,3.0,218,0.1,8293
19,KAY/O,Initiator,0.91,13.9,15.3,8.3,46.9,3.3,203,0.1,9143
20,Yoru,Duelist,1,15.4,15.5,4.5,46.7,2.2,219,0.1,6023
21,Breach,Initiator,0.94,14.4,15.3,6.1,46.7,1.9,206,0.1,5277
