Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,0.96,14.2,14.8,8,51.1,4.4,205,0.1,10795
2,Phoenix,1.14,17.5,15.4,4.9,50.9,3.7,246,0.1,9147
3,Gekko,0.95,14.2,14.9,5.2,50.7,5.6,196,0.1,13954
4,Astra,1.06,15.2,14.4,6.1,50.5,2.7,208,0.2,6814
5,Reyna,1.18,18.2,15.5,4.7,50.4,11.7,255,0.1,29123
6,Killjoy,1.01,14.2,14.1,4.1,50.2,5.6,202,0.2,13928
7,Sage,0.9,13.3,14.8,7.2,50.1,9.9,187,0.1,24674
8,Cypher,1,14.5,14.5,5.1,50.1,4.1,198,0.2,10146
9,Sova,0.99,14.6,14.7,5.7,49.9,2.8,206,0.1,7006
10,Neon,1.01,16.4,16.2,4.3,49.5,2.2,232,0.1,5436
11,Fade,0.95,14.4,15.1,6.4,49.3,5.9,201,0.1,14722
12,Jett,1.1,17.3,15.7,4,49.1,9.4,242,0.1,23368
13,Viper,0.99,14.5,14.6,5.9,48.7,6.0,205,0.2,14973
14,Chamber,1.1,16.1,14.7,3.2,48.6,3.2,221,0.1,7916
15,Omen,0.98,14.9,15.2,6.4,48.3,4.2,207,0.1,10470
16,Raze,1.05,16.5,15.7,4.9,48.2,5.2,241,0.1,12811
17,Skye,0.93,14.1,15.1,7.7,48.1,3.7,199,0.1,9241
18,Yoru,1.02,15.9,15.6,4.5,47.7,1.7,222,0.1,4318
19,Harbor,0.89,13.5,15.1,6.1,47.7,2.6,190,0.1,6539
20,Breach,0.93,14.3,15.4,6.3,47.4,1.7,203,0.1,4262
21,KAY/O,0.91,14.2,15.6,8.6,46.5,3.4,204,0.1,8395
