Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Astra,Controller,1.04,15.1,14.5,6.4,51.8,3.3,206,0.2,7140
2,Phoenix,Duelist,1.13,17.5,15.5,4.9,51.0,3.8,245,0.1,8387
3,Reyna,Duelist,1.16,18.1,15.6,4.7,50.8,11.1,253,0.1,24261
4,Brimstone,Controller,0.96,14.2,14.8,8.2,50.7,4.1,203,0.1,8995
5,Fade,Initiator,0.95,14.4,15.2,6.5,50.5,6.4,201,0.1,13950
6,Sage,Sentinel,0.9,13.4,14.8,7.2,50.5,9.2,188,0.1,20088
7,Gekko,Initiator,0.95,14.2,14.9,5.3,50.3,5.8,195,0.2,12726
8,Killjoy,Sentinel,1.01,14.3,14.2,4.1,50.3,5.7,201,0.2,12474
9,Viper,Controller,0.99,14.5,14.6,6.1,49.9,6.4,204,0.2,14049
10,Jett,Duelist,1.09,17.3,15.8,3.9,49.7,10.2,241,0.1,22283
11,Raze,Duelist,1.04,16.5,15.9,5,49.1,4.7,239,0.1,10377
12,Cypher,Sentinel,1,14.5,14.6,5,48.6,4.4,199,0.1,9613
13,Yoru,Duelist,1.02,16,15.6,4.4,48.5,1.5,223,0.1,3330
14,Skye,Initiator,0.93,14.2,15.2,7.8,47.7,3.9,200,0.1,8416
15,Sova,Initiator,0.97,14.4,14.8,5.6,47.5,2.6,204,0.1,5643
16,Neon,Duelist,1,16.6,16.6,4.4,47.5,2.0,232,0.1,4474
17,Omen,Controller,0.95,14.6,15.4,6.6,47.1,3.6,204,0.1,7919
18,Chamber,Sentinel,1.07,16,15,3.1,46.7,3.2,216,0.1,7002
19,KAY/O,Initiator,0.93,14.5,15.6,8.7,46.6,3.5,207,0.1,7616
20,Breach,Initiator,0.92,14.2,15.4,6.5,46.6,1.6,201,0.1,3436
21,Harbor,Controller,0.9,13.6,15.2,6.1,46.2,2.9,189,0.1,6393
