Rank,Agent,KD,KDA,Win %,Pick %,Avg.,Score,First Blood %,Matches
1,Phoenix,1.12,17.4,15.6,5.1,53.1,4.0,246,0.1,6589
2,Gekko,0.97,14.4,14.9,5.3,52.5,6.6,197,0.2,11062
3,Brimstone,0.98,14.5,14.9,8.6,51.9,3.5,206,0.1,5768
4,Cypher,1.01,14.7,14.6,4.9,51.4,5.1,200,0.2,8457
5,Sage,0.93,13.8,15,7.3,51.0,7.8,192,0.1,12909
6,Fade,0.96,14.6,15.2,6.7,50.8,7.3,203,0.1,12140
7,Astra,1.05,15.2,14.4,6.6,50.3,4.2,206,0.2,7016
8,Sova,1,14.7,14.7,5.8,50.1,2.2,205,0.1,3741
9,Viper,1,14.8,14.7,6.2,50.0,6.7,207,0.1,11229
10,Killjoy,1.02,14.7,14.4,4,49.9,5.5,204,0.2,9230
11,Skye,0.95,14.4,15.2,7.9,49.8,3.7,201,0.1,6078
12,Reyna,1.15,18.1,15.8,4.6,49.8,10.3,251,0.1,17205
13,Raze,1.06,16.8,15.9,5,49.7,4.4,242,0.1,7380
14,Neon,0.99,16.4,16.6,4.3,48.8,1.5,229,0.1,2461
15,Harbor,0.91,13.8,15.2,6.3,48.5,3.3,190,0.1,5546
16,Breach,0.93,14.4,15.5,6.7,48.4,1.4,201,0.1,2278
17,Jett,1.08,17.3,16,3.9,48.1,11.7,239,0.1,19397
18,Chamber,1.09,16.2,14.9,3,47.7,3.3,219,0.1,5444
19,Omen,0.96,14.7,15.3,6.8,47.2,2.9,204,0.1,4778
20,Yoru,1.05,16.6,15.8,4.5,46.5,1.3,229,0.1,2121
21,KAY/O,0.92,14.4,15.8,8.9,44.5,3.3,205,0.1,5560
