Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.96,14,14.5,5.2,52.8,4.5,198,0.1,10208
2,Killjoy,Sentinel,0.99,13.7,13.8,4.4,51.8,6.3,201,0.2,14461
3,Raze,Duelist,1.03,15.7,15.3,5.1,51.2,5.7,233,0.1,12925
4,Reyna,Duelist,1.16,17.5,15.1,4.8,51.1,11.8,250,0.1,26940
5,Brimstone,Controller,0.96,14,14.6,7.3,50.8,4.5,204,0.1,10344
6,Sage,Sentinel,0.88,12.7,14.5,7,50.4,12.2,183,0.1,27742
7,Astra,Controller,1.02,14.3,14.1,5.7,50.1,1.6,202,0.1,3626
8,Fade,Initiator,0.92,13.7,14.8,6.4,50.0,5.2,198,0.1,11954
9,Skye,Initiator,0.92,13.5,14.7,7.8,49.9,4.0,196,0.1,9041
10,Phoenix,Duelist,1.09,16.3,14.9,4.8,49.5,3.8,236,0.1,8764
11,Sova,Initiator,0.95,13.7,14.4,5.5,49.4,3.5,200,0.1,7993
12,Jett,Duelist,1.08,16.5,15.3,4.2,49.3,6.7,235,0.1,15175
13,Viper,Controller,0.96,13.8,14.4,5.8,49.2,5.2,200,0.1,11893
14,Cypher,Sentinel,0.98,14,14.2,5.2,48.5,3.5,196,0.2,8055
15,Omen,Controller,0.97,14.4,14.9,5.7,48.5,5.4,206,0.1,12346
16,Yoru,Duelist,0.99,14.9,15.1,4.4,47.9,2.7,214,0.1,6221
17,Chamber,Sentinel,1.05,15.1,14.3,3.4,47.8,2.8,213,0.1,6388
18,Neon,Duelist,0.99,15.6,15.8,4.4,47.6,3.0,226,0.1,6940
19,Breach,Initiator,0.94,14.2,15.1,6,47.6,1.8,205,0.1,4168
20,Harbor,Controller,0.87,13,14.9,6,46.5,2.1,186,0.1,4863
21,KAY/O,Initiator,0.89,13.5,15.2,8.2,46.0,3.5,199,0.1,7884
