Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,Duelist,1.11,16.8,15.2,4.6,51.3,3.8,240,0.1,10554
2,Killjoy,Sentinel,0.97,13.7,14.1,4,50.4,6.7,196,0.2,18364
3,Brimstone,Controller,0.95,14.1,14.8,7.6,50.3,5.5,204,0.1,15119
4,Reyna,Duelist,1.14,17.4,15.3,4.6,50.3,11.9,248,0.1,32663
5,Sage,Sentinel,0.89,13.1,14.7,7,50.2,12.0,187,0.1,32993
6,Gekko,Initiator,0.94,13.9,14.8,5,50.2,4.8,197,0.1,13292
7,Jett,Duelist,1.08,16.7,15.4,4,49.9,7.6,239,0.1,21025
8,Cypher,Sentinel,0.99,14.1,14.3,5,49.7,3.2,198,0.2,8935
9,Fade,Initiator,0.92,13.9,15,6.4,49.2,3.8,198,0.1,10358
10,Skye,Initiator,0.93,13.8,14.9,7.4,49.1,4.0,198,0.1,11015
11,Omen,Controller,0.98,14.7,15,6.2,48.9,8.7,208,0.1,23880
12,Sova,Initiator,0.97,14.2,14.6,5.4,48.5,4.7,203,0.1,12837
13,Raze,Duelist,1.04,16.1,15.5,4.9,48.5,5.9,236,0.1,16282
14,Breach,Initiator,0.94,14.5,15.5,6.1,48.2,2.3,205,0.1,6442
15,Viper,Controller,0.95,14,14.6,5.5,48.0,2.6,200,0.1,7081
16,Neon,Duelist,0.98,15.8,16.1,4.3,48.0,2.5,226,0.1,6913
17,Astra,Controller,1.01,14.6,14.5,5.7,47.8,1.2,203,0.1,3409
18,Chamber,Sentinel,1.06,15.7,14.8,3.3,47.2,2.4,216,0.1,6740
19,Yoru,Duelist,0.98,15.2,15.5,4.3,46.3,2.2,215,0.1,6177
20,KAY/O,Initiator,0.89,13.7,15.4,8.4,45.6,3.1,201,0.1,8422
21,Harbor,Controller,0.9,13.8,15.3,5.7,42.9,1.0,195,0.1,2705
