Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,Sentinel,0.99,14,14.1,4,51.3,6.7,199,0.2,18901
2,Raze,Duelist,1.06,16.4,15.4,4.8,51.2,5.8,240,0.1,16193
3,Brimstone,Controller,0.97,14.4,14.8,7.8,51.1,5.7,207,0.1,16097
4,Gekko,Initiator,0.95,14.2,14.9,5,50.8,5.0,198,0.1,14064
5,Jett,Duelist,1.11,17.2,15.6,4,50.5,8.1,242,0.1,22856
6,Reyna,Duelist,1.17,17.9,15.4,4.6,50.4,12.1,253,0.1,33928
7,Sage,Sentinel,0.91,13.4,14.7,7.1,50.3,11.3,190,0.1,31753
8,Astra,Controller,1.01,14.7,14.5,5.9,50.0,1.4,205,0.2,3997
9,Sova,Initiator,0.98,14.2,14.5,5.3,50.0,4.7,204,0.1,13091
10,Phoenix,Duelist,1.11,16.9,15.2,4.6,49.9,3.8,241,0.1,10625
11,Fade,Initiator,0.94,14.2,15.1,6.4,49.3,3.6,200,0.1,10172
12,Breach,Initiator,0.94,14.3,15.3,6.1,49.3,2.5,204,0.1,6887
13,Cypher,Sentinel,1,14.5,14.5,5,48.9,3.3,201,0.1,9303
14,Chamber,Sentinel,1.07,15.7,14.7,3.2,48.9,2.6,217,0.1,7298
15,Omen,Controller,1,15,15,6.4,48.6,9.0,211,0.1,25189
16,Skye,Initiator,0.93,13.9,15,7.5,48.6,4.0,199,0.1,11361
17,Viper,Controller,0.97,14.2,14.6,5.5,48.3,2.2,202,0.1,6194
18,Neon,Duelist,1.01,16.3,16.1,4.3,47.2,2.3,232,0.1,6417
19,Yoru,Duelist,1.01,15.5,15.3,4.3,46.8,2.0,219,0.1,5541
20,KAY/O,Initiator,0.91,13.9,15.3,8.4,46.2,3.0,202,0.1,8488
21,Harbor,Controller,0.91,13.8,15.2,5.8,44.8,0.9,196,0.1,2581
