Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,Sentinel,0.91,12.8,14.1,4,50.6,6.5,188,0.2,10923
2,Brimstone,Controller,0.93,13.5,14.6,6.7,50.5,4.6,198,0.1,7707
3,Raze,Duelist,0.97,14.8,15.2,4.8,50.4,6.8,220,0.1,11429
4,Reyna,Duelist,1.05,15.9,15.1,4.6,50.2,10.9,230,0.1,18427
5,Skye,Initiator,0.86,12.8,14.8,7.3,50.0,3.9,186,0.1,6628
6,Sova,Initiator,0.9,13,14.4,5.1,49.7,4.6,191,0.1,7736
7,Cypher,Sentinel,0.93,13.3,14.3,5,49.6,3.1,189,0.1,5150
8,Sage,Sentinel,0.84,12.2,14.5,6.6,49.4,13.4,177,0.1,22519
9,Gekko,Initiator,0.89,13,14.7,4.8,49.3,3.8,187,0.1,6439
10,Omen,Controller,0.93,13.8,14.9,5.5,49.0,7.8,197,0.1,13118
11,Phoenix,Duelist,1.01,15.1,14.9,4.4,49.0,4.0,220,0.1,6757
12,Chamber,Sentinel,0.98,14.3,14.6,3.4,48.8,2.4,201,0.1,3979
13,Jett,Duelist,0.99,15.2,15.3,4,48.6,6.1,219,0.1,10307
14,Fade,Initiator,0.86,12.7,14.8,6.1,48.3,4.6,186,0.1,7721
15,Yoru,Duelist,0.93,14.1,15.2,4.2,47.2,3.6,202,0.1,6109
16,Astra,Controller,0.92,13.2,14.3,5.1,47.1,0.9,189,0.1,1452
17,Viper,Controller,0.89,13.1,14.7,5.2,46.9,3.4,189,0.1,5666
18,KAY/O,Initiator,0.83,12.5,15.1,7.9,46.9,3.2,186,0.1,5363
19,Harbor,Controller,0.83,12.8,15.3,5.6,46.8,1.1,183,0.1,1909
20,Neon,Duelist,0.93,14.5,15.7,4.2,46.8,3.3,212,0.1,5618
21,Breach,Initiator,0.89,13.6,15.3,5.7,46.3,2.0,196,0.1,3376
