Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,0.97,14.6,15,9.4,51.1,5.0,205,0.1,7293
2,Killjoy,Sentinel,1.03,14.8,14.4,3.7,51.1,7.1,204,0.2,10381
3,Gekko,Initiator,0.97,14.6,15.1,5.5,50.9,6.7,198,0.1,9788
4,Chamber,Sentinel,1.1,16.6,15.1,2.9,50.9,2.5,221,0.1,3713
5,Sage,Sentinel,0.94,14.2,15.1,7.2,50.8,7.5,196,0.1,10982
6,Phoenix,Duelist,1.12,17.6,15.7,4.9,50.7,3.7,244,0.1,5477
7,Sova,Initiator,1.01,15,14.8,5.9,50.6,6.7,208,0.2,9845
8,Reyna,Duelist,1.12,17.9,15.9,4.6,50.1,10.2,245,0.1,14884
9,Raze,Duelist,1.06,16.9,16,4.9,49.9,4.8,241,0.1,7015
10,Omen,Controller,0.99,14.9,15.1,8,49.9,11.5,205,0.1,16893
11,Jett,Duelist,1.08,17.4,16.1,3.7,49.9,13.2,238,0.1,19338
12,Breach,Initiator,0.94,14.7,15.6,7.1,48.9,2.4,203,0.1,3565
13,Fade,Initiator,0.96,14.5,15.2,6.9,48.7,3.2,201,0.1,4719
14,Astra,Controller,1.01,15.1,14.9,7.1,48.7,2.1,204,0.1,3092
15,Yoru,Duelist,1.02,16.3,15.9,4.6,47.8,1.0,223,0.1,1477
16,Viper,Controller,0.97,14.4,14.9,5.7,47.2,0.5,205,0.1,772
17,Cypher,Sentinel,1.01,14.8,14.7,4.7,47.1,4.6,202,0.1,6732
18,Skye,Initiator,0.94,14.6,15.5,7.5,47.1,3.6,200,0.1,5295
19,KAY/O,Initiator,0.93,14.5,15.6,9.4,46.3,2.3,206,0.1,3330
20,Neon,Duelist,1,16.5,16.6,4.2,45.2,0.8,229,0.1,1231
21,Harbor,Controller,0.94,14.4,15.3,6.3,41.2,0.5,198,0.1,723
