Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Phoenix,Duelist,1.12,17.4,15.5,4.7,51.7,3.7,244,0.1,8196
2,Brimstone,Controller,0.96,14.4,15,8.8,51.7,5.6,204,0.1,12438
3,Gekko,Initiator,0.96,14.4,15,5.2,51.2,5.7,196,0.1,12601
4,Raze,Duelist,1.05,16.7,15.8,4.8,50.6,5.3,240,0.1,11658
5,Sage,Sentinel,0.92,13.7,14.9,7.1,50.4,9.5,190,0.1,21125
6,Breach,Initiator,0.94,14.5,15.3,6.8,50.4,2.6,203,0.1,5787
7,Viper,Controller,0.97,14.1,14.6,5.7,50.3,1.2,200,0.1,2573
8,Killjoy,Sentinel,0.99,14.3,14.4,3.8,50.2,6.6,200,0.2,14707
9,Reyna,Duelist,1.13,17.8,15.7,4.6,49.8,11.2,248,0.1,24837
10,Sova,Initiator,1,14.8,14.7,5.6,49.3,5.7,206,0.2,12637
11,Skye,Initiator,0.93,14.2,15.2,7.6,49.2,3.7,199,0.1,8309
12,Fade,Initiator,0.94,14.4,15.2,6.6,49.1,3.5,200,0.1,7752
13,Jett,Duelist,1.09,17.4,15.9,3.8,49.0,11.0,240,0.1,24314
14,Cypher,Sentinel,1,14.7,14.6,4.9,48.9,3.8,201,0.1,8484
15,Omen,Controller,0.98,14.8,15.1,7.2,48.8,10.4,205,0.1,23019
16,Chamber,Sentinel,1.08,16,14.8,3,48.5,2.7,218,0.1,6068
17,Astra,Controller,1.02,15,14.8,6.4,48.5,1.8,206,0.1,3968
18,Harbor,Controller,0.9,13.7,15.1,6.2,47.1,0.6,192,0.1,1329
19,Yoru,Duelist,1.01,15.8,15.7,4.4,46.9,1.2,218,0.1,2737
20,Neon,Duelist,0.99,16.3,16.4,4.1,45.8,1.4,229,0.1,3199
21,KAY/O,Initiator,0.92,14.4,15.6,8.9,45.0,2.7,206,0.1,5896
