Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,0.99,14.8,15,9.5,54.1,5.0,207,0.1,6390
2,Astra,Controller,1.03,15,14.6,7.2,51.1,2.2,205,0.2,2768
3,Phoenix,Duelist,1.11,17.5,15.8,4.7,51.1,3.9,241,0.1,5030
4,Sova,Initiator,1.02,15.1,14.8,6,50.5,7.3,208,0.1,9300
5,Reyna,Duelist,1.13,17.9,15.9,4.6,50.3,10.1,246,0.1,12890
6,Chamber,Sentinel,1.08,16.4,15.1,2.9,49.9,2.4,219,0.1,3074
7,Gekko,Initiator,0.98,14.8,15.1,5.5,49.7,6.8,200,0.1,8705
8,Skye,Initiator,0.96,14.7,15.3,7.6,49.7,3.7,203,0.1,4723
9,Raze,Duelist,1.06,16.8,15.9,4.8,49.6,4.6,242,0.1,5864
10,Killjoy,Sentinel,1.02,14.9,14.6,3.7,49.5,7.1,203,0.2,9102
11,Fade,Initiator,0.96,14.6,15.2,6.9,49.2,3.1,202,0.1,3930
12,Sage,Sentinel,0.95,14.2,15,7.2,49.2,6.9,197,0.1,8791
13,Cypher,Sentinel,1.02,15,14.7,4.8,49.1,4.8,203,0.1,6136
14,Omen,Controller,0.99,15.1,15.2,8.1,49.0,11.5,206,0.1,14680
15,Jett,Duelist,1.08,17.4,16.1,3.7,48.6,13.7,240,0.1,17519
16,Harbor,Controller,0.97,14.9,15.4,6.3,48.0,0.4,202,0.1,488
17,Neon,Duelist,1.02,16.4,16.1,4.1,47.4,0.9,231,0.1,1130
18,Yoru,Duelist,1.01,16.1,16,4.6,47.0,0.9,223,0.1,1094
19,KAY/O,Initiator,0.93,14.5,15.6,9.5,46.0,2.0,207,0.1,2587
20,Breach,Initiator,0.94,14.5,15.5,7.2,45.5,2.5,201,0.1,3246
21,Viper,Controller,0.97,14.1,14.6,5.9,42.7,0.4,201,0.2,543
