Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,0.96,14.2,14.8,8.2,51.6,5.7,204,0.1,15633
2,Phoenix,Duelist,1.1,17,15.4,4.6,51.3,3.7,240,0.1,10173
3,Raze,Duelist,1.05,16.5,15.6,4.8,51.0,5.5,240,0.1,14983
4,Gekko,Initiator,0.95,14.1,15,5.1,50.9,5.5,196,0.1,14876
5,Reyna,Duelist,1.15,17.9,15.5,4.6,50.4,11.7,250,0.1,31844
6,Fade,Initiator,0.93,14,15,6.4,50.2,3.5,196,0.1,9525
7,Jett,Duelist,1.08,17.1,15.8,3.9,49.7,9.3,239,0.1,25285
8,Killjoy,Sentinel,0.97,13.9,14.4,3.9,49.7,6.7,197,0.2,18248
9,Sage,Sentinel,0.9,13.3,14.8,7.1,49.6,10.9,188,0.1,29643
10,Chamber,Sentinel,1.06,15.6,14.8,3.2,49.6,2.6,214,0.1,7060
11,Astra,Controller,1.02,14.9,14.6,6.1,49.5,1.7,205,0.1,4543
12,Skye,Initiator,0.94,14.2,15.2,7.6,49.4,3.7,200,0.1,10163
13,Sova,Initiator,0.98,14.4,14.7,5.4,49.3,5.1,204,0.1,13792
14,Yoru,Duelist,1.01,15.7,15.6,4.4,48.6,1.6,220,0.1,4499
15,Omen,Controller,0.98,14.8,15.1,6.7,48.5,9.5,206,0.1,25812
16,Cypher,Sentinel,0.99,14.4,14.6,4.9,48.4,3.5,199,0.1,9451
17,Neon,Duelist,0.99,16.1,16.2,4.3,48.4,1.9,228,0.1,5086
18,Harbor,Controller,0.91,13.7,15.2,5.8,47.6,0.8,193,0.1,2068
19,Breach,Initiator,0.94,14.5,15.4,6.4,47.6,2.6,205,0.1,7199
20,Viper,Controller,0.95,14.1,14.9,5.6,47.3,1.8,199,0.1,4904
21,KAY/O,Initiator,0.9,14,15.5,8.6,44.3,2.9,202,0.1,8013
