Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Gekko,Initiator,0.89,13,14.6,4.8,52.9,3.5,185,0.1,4463
2,Killjoy,Sentinel,0.87,12.3,14.1,4.2,50.6,5.8,181,0.2,7419
3,Brimstone,Controller,0.88,12.8,14.6,6.3,50.0,4.2,189,0.1,5395
4,Sage,Sentinel,0.8,11.6,14.4,6.3,49.8,14.0,170,0.1,17820
5,Raze,Duelist,0.95,14.3,15.1,4.8,49.7,6.8,215,0.1,8634
6,Skye,Initiator,0.82,12.1,14.8,7.1,49.6,4.0,178,0.1,5088
7,Sova,Initiator,0.86,12.4,14.5,4.9,49.5,4.6,183,0.1,5874
8,Reyna,Duelist,1.03,15.4,15,4.5,49.4,10.9,224,0.1,13879
9,Chamber,Sentinel,0.95,13.9,14.6,3.4,49.4,2.3,197,0.1,2871
10,Neon,Duelist,0.88,13.7,15.5,4.2,49.3,3.8,202,0.1,4863
11,Breach,Initiator,0.85,12.7,15,5.6,48.7,1.6,186,0.1,2035
12,Jett,Duelist,0.96,14.4,15.1,3.9,48.7,6.2,211,0.1,7816
13,Fade,Initiator,0.81,12.2,14.9,6,48.5,4.8,179,0.1,6094
14,Cypher,Sentinel,0.89,12.6,14.1,4.9,48.2,2.9,182,0.2,3634
15,Omen,Controller,0.91,13.5,14.9,5.2,47.8,7.0,194,0.1,8854
16,Phoenix,Duelist,0.95,14.2,14.9,4.3,46.7,4.5,208,0.1,5707
17,Yoru,Duelist,0.89,13.4,15.1,4.1,46.7,4.2,194,0.1,5316
18,Harbor,Controller,0.83,12.4,15,5.3,46.5,1.2,180,0.1,1552
19,KAY/O,Initiator,0.81,12.2,15,7.6,46.3,3.3,182,0.1,4215
20,Viper,Controller,0.84,12.5,14.8,5.1,46.1,3.5,182,0.1,4457
21,Astra,Controller,0.91,13,14.4,5,43.7,0.8,188,0.1,968
