Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Gekko,0.95,14.1,14.8,4.8,51.2,4.7,197,0.1,12741
2,Reyna,1.15,17.7,15.3,4.5,50.9,11.8,251,0.1,32034
3,Viper,0.99,14.3,14.5,5.6,50.6,7.9,203,0.1,21613
4,Killjoy,0.98,13.8,14.1,4.1,50.3,6.7,199,0.2,18155
5,Sage,0.89,13,14.7,6.9,50.2,13.1,185,0.1,35548
6,Jett,1.1,17.1,15.6,4,50.1,8.1,244,0.1,22084
7,Raze,1.03,16,15.6,4.7,49.7,6.1,234,0.1,16507
8,Sova,0.96,14.1,14.6,5.3,49.3,6.1,201,0.1,16736
9,Brimstone,0.95,14.2,14.9,6.6,49.3,3.4,204,0.1,9288
10,Astra,1.03,15,14.6,5.1,48.8,0.6,211,0.1,1670
11,Phoenix,1.07,16.3,15.2,4.4,48.7,3.1,233,0.1,8534
12,Chamber,1.07,15.6,14.6,3.2,48.6,2.6,217,0.1,7093
13,Fade,0.91,13.8,15.1,6.3,48.6,3.4,198,0.1,9242
14,Neon,1.01,16,15.9,4.2,48.5,2.6,232,0.1,7166
15,Skye,0.92,13.8,15,7.3,48.3,3.2,197,0.1,8822
16,Omen,0.98,15,15.2,5.3,47.9,6.0,212,0.1,16228
17,Cypher,0.96,14,14.5,4.8,47.8,1.9,196,0.1,5180
18,Harbor,0.89,13.5,15.2,5.8,47.8,1.3,191,0.1,3642
19,Yoru,0.98,15.1,15.5,4.2,47.7,2.3,215,0.1,6304
20,Breach,0.93,14.3,15.4,5.7,46.8,1.5,205,0.1,3952
21,KAY/O,0.9,13.7,15.3,8.3,45.9,3.6,201,0.1,9706
