Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,KAY/O,0.75,10.4,13.9,6.8,54.0,3.2,166,0.1,443
2,Killjoy,0.85,11.8,13.9,4.2,52.8,4.2,175,0.2,579
3,Viper,0.76,11.3,14.9,4.9,52.8,6.0,165,0.1,825
4,Jett,0.88,12.7,14.4,3.7,52.7,7.0,189,0.1,964
5,Brimstone,0.83,12.4,14.9,5,51.2,2.6,177,0.1,365
6,Gekko,0.79,11,13.9,4.4,51.0,2.8,164,0.1,382
7,Raze,0.86,12.2,14.2,4.1,50.6,7.0,190,0.1,963
8,Reyna,0.95,13.8,14.5,4.1,50.3,10.9,203,0.1,1499
9,Fade,0.78,11.3,14.5,5.7,49.7,5.4,169,0.1,750
10,Sage,0.73,10.3,14.1,5.4,49.4,14.0,154,0.1,1926
11,Harbor,0.67,10.1,15,4.9,49.0,1.0,151,0.1,143
12,Phoenix,0.83,11.7,14.1,3.8,48.4,5.3,181,0.1,736
13,Cypher,0.85,11.9,14,4.5,48.2,2.2,169,0.2,301
14,Astra,0.85,11.3,13.3,3.2,47.8,0.5,170,0.2,67
15,Omen,0.8,11.6,14.5,4.1,47.4,5.0,174,0.1,685
16,Neon,0.81,12.6,15.5,4.1,47.1,4.7,186,0.1,645
17,Yoru,0.79,11.9,15,3.9,45.3,6.3,173,0.1,872
18,Breach,0.78,10.9,14,3.8,45.1,1.2,164,0.1,164
19,Sova,0.79,11.6,14.7,4.6,45.1,5.9,170,0.1,812
20,Chamber,0.89,12.4,13.9,3.2,44.9,1.9,183,0.1,267
21,Skye,0.77,11.3,14.7,6.5,44.2,2.8,168,0.1,391
