Rank,Agent,KD,KDA,Win %,Pick %,Avg.,Score,First Blood %,Matches
1,Sage,0.91,13.5,14.8,7.1,50.9,12.5,189,0.1,31491
2,Gekko,0.95,14.3,15,4.8,50.8,5.3,196,0.1,13387
3,Reyna,1.16,18.2,15.7,4.4,50.4,11.7,253,0.1,29479
4,Jett,1.11,17.7,16,4,50.3,10.5,248,0.1,26520
5,Viper,1.01,14.8,14.7,5.7,50.3,9.9,207,0.1,24991
6,Killjoy,1,14.3,14.3,3.9,50.0,6.6,201,0.2,16546
7,Sova,0.99,14.6,14.8,5.4,49.9,7.3,204,0.1,18483
8,Neon,1.01,16.3,16.1,4.2,49.2,1.7,234,0.1,4396
9,Phoenix,1.09,16.9,15.5,4.4,49.2,2.4,238,0.1,6129
10,Raze,1.04,16.6,16,4.8,48.9,6.0,240,0.1,14975
11,Fade,0.94,14.3,15.2,6.2,48.7,2.9,201,0.1,7375
12,Omen,0.98,15.2,15.5,5.8,48.4,5.2,212,0.1,12992
13,Brimstone,0.95,14.4,15.1,7,48.4,2.8,205,0.1,7156
14,Cypher,0.99,14.5,14.7,4.6,48.0,1.6,200,0.1,3966
15,Astra,1.04,15.6,15.1,5.2,47.9,0.6,213,0.1,1469
16,Harbor,0.92,14,15.2,6,47.7,1.3,194,0.1,3244
17,Chamber,1.1,16.4,15,3.2,47.1,2.8,223,0.1,6971
18,Skye,0.93,14.2,15.3,7.3,47.0,2.6,199,0.1,6613
19,Yoru,0.99,15.6,15.7,4,45.6,1.4,217,0.1,3604
20,KAY/O,0.91,14.3,15.6,8.6,45.2,3.4,206,0.1,8620
21,Breach,0.91,14.3,15.7,6,45.1,1.2,201,0.1,3090

