Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Viper,Controller,1.02,15,14.7,5.7,50.6,10.3,208,0.2,24
2,Phoenix,Duelist,1.11,17.2,15.5,4.4,50.5,2.4,240,0.1,5
3,Reyna,Duelist,1.17,18.4,15.7,4.4,50.5,11.7,255,0.1,27
4,Brimstone,Controller,0.96,14.5,15,7.2,50.4,2.7,206,0.1,6
5,Jett,Duelist,1.11,17.8,16,4,50.2,11.1,250,0.1,25
6,Killjoy,Sentinel,1.01,14.4,14.3,3.8,50.2,6.4,202,0.2,14
7,Sage,Sentinel,0.92,13.7,14.9,7.1,50.1,12.3,190,0.1,28
8,Gekko,Initiator,0.95,14.3,15,4.8,49.7,5.4,196,0.1,12
9,Sova,Initiator,1,14.7,14.7,5.4,49.4,7.5,205,0.1,17
10,Neon,Duelist,1.01,16.7,16.6,4.2,49.2,1.7,234,0.1,3
11,Raze,Duelist,1.04,16.7,16,4.7,49.2,6.0,241,0.1,13
12,Omen,Controller,0.99,15.3,15.5,5.9,49.0,4.9,213,0.1,11
13,Chamber,Sentinel,1.1,16.4,14.9,3.1,49.0,2.8,222,0.1,6
14,Astra,Controller,1.02,14.9,14.7,5.3,48.7,0.6,207,0.1,1
15,Breach,Initiator,0.92,14.4,15.6,6.1,48.4,1.1,202,0.1,2
16,Skye,Initiator,0.94,14.4,15.2,7.4,48.1,2.5,201,0.1,5
17,Fade,Initiator,0.93,14.3,15.3,6.4,47.5,2.8,201,0.1,6
18,Harbor,Controller,0.92,13.9,15.2,5.9,47.0,1.4,194,0.1,3
19,Cypher,Sentinel,1,14.7,14.7,4.5,46.1,1.4,201,0.1,3
20,Yoru,Duelist,1.01,16.2,16,4.1,46.1,1.4,223,0.1,3
21,KAY/O,Initiator,0.93,14.5,15.5,8.7,45.6,3.5,207,0.1,8
