Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,Sentinel,0.94,14,15,7.2,51.3,11.8,193,0.1,21257
2,Phoenix,Duelist,1.1,17.2,15.6,4.4,51.0,1.8,239,0.1,3293
3,Viper,Controller,1.02,15.1,14.8,5.8,50.8,11.9,208,0.2,21563
4,Gekko,Initiator,0.97,14.5,15,4.8,50.6,6.0,198,0.1,10791
5,Killjoy,Sentinel,1.02,14.7,14.4,3.7,50.4,6.3,203,0.2,11333
6,Breach,Initiator,0.94,14.6,15.5,6.2,50.4,0.9,203,0.1,1581
7,Chamber,Sentinel,1.1,16.6,15,2.9,50.3,2.9,223,0.1,5158
8,Jett,Duelist,1.11,17.9,16.2,3.9,50.0,13.0,249,0.1,23457
9,Sova,Initiator,1,14.8,14.9,5.5,50.0,8.8,206,0.1,15886
10,Reyna,Duelist,1.14,18.2,15.9,4.3,49.4,11.2,251,0.1,20152
11,Astra,Controller,1.01,15.2,15,5.5,49.2,0.5,204,0.1,861
12,Fade,Initiator,0.94,14.5,15.4,6.3,48.7,2.5,201,0.1,4484
13,Harbor,Controller,0.92,14.2,15.4,6,48.5,1.5,194,0.1,2772
14,Skye,Initiator,0.94,14.5,15.4,7.4,48.4,2.2,201,0.1,3992
15,Cypher,Sentinel,0.98,14.5,14.7,4.4,48.2,1.3,198,0.2,2413
16,Raze,Duelist,1.03,16.8,16.3,4.7,48.0,5.8,240,0.1,10451
17,Brimstone,Controller,0.95,14.4,15.1,7.3,47.4,2.0,203,0.1,3633
18,Neon,Duelist,1,16.8,16.8,4.4,47.3,1.3,235,0.1,2355
19,Omen,Controller,0.99,15.3,15.5,6,47.1,3.9,211,0.1,7096
20,KAY/O,Initiator,0.93,14.6,15.6,9,46.6,3.4,207,0.1,6106
21,Yoru,Duelist,1.02,16,15.7,4.1,46.4,1.1,223,0.1,1938
