Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Astra,1.01,14.6,14.5,4.8,51.7,0.6,206,0.1,1426
2,Killjoy,0.96,13.5,14,4.2,50.9,6.5,198,0.2,15004
3,Gekko,0.95,13.9,14.7,4.8,50.6,4.4,197,0.1,10143
4,Jett,1.09,16.8,15.4,4,50.6,7.5,241,0.1,17273
5,Reyna,1.14,17.3,15.2,4.5,50.4,11.7,248,0.1,26830
6,Sage,0.88,12.9,14.6,6.8,50.1,13.4,185,0.1,30693
7,Phoenix,1.06,16.1,15.1,4.5,49.7,3.3,230,0.1,7453
8,Viper,0.98,14.1,14.5,5.4,49.6,7.4,202,0.1,17032
9,Fade,0.93,13.9,15,6.2,49.5,3.7,199,0.1,8391
10,Sova,0.95,13.9,14.6,5.1,49.2,5.9,199,0.1,13626
11,Brimstone,0.95,14,14.8,6.5,49.1,3.5,204,0.1,7961
12,Raze,1.01,15.6,15.4,4.7,49.0,6.1,230,0.1,14052
13,Neon,0.99,15.7,15.9,4.3,49.0,2.9,227,0.1,6588
14,Chamber,1.07,15.5,14.5,3.3,49.0,2.5,217,0.1,5632
15,Breach,0.92,14,15.1,5.7,48.8,1.5,201,0.1,3400
16,Harbor,0.88,13.4,15.2,5.7,48.8,1.4,192,0.1,3206
17,Skye,0.91,13.5,14.9,7.1,48.1,3.2,195,0.1,7430
18,Omen,0.98,14.9,15.2,5.2,48.0,6.1,212,0.1,14021
19,Cypher,0.96,14,14.5,4.8,47.5,2.0,195,0.1,4613
20,KAY/O,0.9,13.7,15.2,8.2,46.8,3.6,201,0.1,8254
21,Yoru,0.99,15.2,15.4,4.2,46.1,2.6,214,0.1,6064

