Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Killjoy,Sentinel,0.94,13,13.8,4.2,52.6,6.2,192,0.2,10371
2,Gekko,Initiator,0.9,13.1,14.6,4.6,50.6,3.8,189,0.1,6390
3,Viper,Controller,0.91,13.1,14.3,5.2,50.0,6.7,191,0.1,11315
4,Reyna,Duelist,1.07,16.1,15,4.5,50.0,10.9,234,0.1,18294
5,Breach,Initiator,0.88,13.2,15.1,5.5,49.7,1.4,191,0.1,2324
6,Sage,Sentinel,0.83,12.1,14.5,6.5,49.7,14.0,176,0.1,23480
7,Raze,Duelist,0.97,14.7,15.2,4.6,49.7,6.4,219,0.1,10771
8,Sova,Initiator,0.89,12.9,14.6,5,49.4,5.7,189,0.1,9517
9,Jett,Duelist,1.01,15.4,15.3,4.1,49.2,6.8,223,0.1,11429
10,Skye,Initiator,0.86,12.7,14.7,7.1,48.3,3.4,187,0.1,5785
11,Phoenix,Duelist,0.99,14.8,15,4.4,48.2,3.8,216,0.1,6319
12,Brimstone,Controller,0.9,13.2,14.7,5.9,48.1,3.2,193,0.1,5412
13,Omen,Controller,0.93,13.9,15,4.8,47.8,6.2,201,0.1,10340
14,Fade,Initiator,0.86,12.8,14.9,6.1,47.8,4.3,188,0.1,7137
15,Neon,Duelist,0.94,14.8,15.7,4.3,47.7,3.6,216,0.1,6090
16,KAY/O,Initiator,0.85,12.7,15,7.9,47.6,3.6,191,0.1,5980
17,Astra,Controller,0.97,14,14.4,4.7,47.2,0.5,197,0.2,897
18,Chamber,Sentinel,0.99,14.5,14.6,3.4,47.0,2.4,205,0.1,4009
19,Harbor,Controller,0.86,12.8,14.9,5.5,47.0,1.3,187,0.1,2162
20,Cypher,Sentinel,0.92,13.2,14.3,4.7,46.1,2.2,189,0.2,3616
21,Yoru,Duelist,0.91,13.9,15.2,4.1,45.9,3.7,200,0.1,6200
