Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,Duelist,1.08,17.1,15.9,4.5,51.4,1.6,237,0.1,2296
2,Killjoy,Sentinel,1.03,14.8,14.4,3.7,50.7,6.3,204,0.2,9124
3,Sage,Sentinel,0.93,14,15,7.2,50.6,11.5,192,0.1,16723
4,Viper,Controller,1.02,15.2,14.9,5.9,50.6,13.2,208,0.2,19148
5,Jett,Duelist,1.09,17.9,16.4,3.9,50.5,14.0,247,0.1,20299
6,Gekko,Initiator,0.96,14.6,15.2,4.9,49.9,6.5,197,0.1,9416
7,Sova,Initiator,1,14.8,14.9,5.5,49.7,10.0,205,0.1,14483
8,Reyna,Duelist,1.14,18.2,15.9,4.3,49.1,10.9,251,0.1,15867
9,Chamber,Sentinel,1.09,16.5,15.1,2.9,48.8,2.7,221,0.1,3952
10,Raze,Duelist,1.03,16.8,16.4,4.7,48.4,5.7,239,0.1,8236
11,Skye,Initiator,0.94,14.6,15.5,7.3,48.2,1.9,201,0.1,2815
12,Brimstone,Controller,0.97,14.6,15.1,7.4,48.0,1.5,205,0.1,2169
13,Omen,Controller,0.98,15.3,15.7,6.2,47.6,3.2,212,0.1,4595
14,Astra,Controller,1.04,15.7,15.1,5.4,46.9,0.4,211,0.2,567
15,Neon,Duelist,1,16.9,17,4.2,46.7,1.0,232,0.1,1491
16,Harbor,Controller,0.92,14.2,15.5,6.2,46.4,1.6,193,0.1,2369
17,Breach,Initiator,0.91,14.6,16.1,6.4,46.4,0.6,200,0.1,906
18,KAY/O,Initiator,0.92,14.5,15.7,9,46.0,3.3,206,0.1,4721
19,Cypher,Sentinel,0.98,14.8,15.1,4.4,45.4,1.2,201,0.1,1701
20,Fade,Initiator,0.96,14.9,15.4,6.3,45.4,2.0,203,0.1,2957
21,Yoru,Duelist,0.98,15.8,16.1,4.2,45.1,1.0,216,0.1,1391
