Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,Sentinel,0.88,12.3,13.9,4.1,52.1,5.5,184,0.2,7072
2,Cypher,Sentinel,0.89,12.6,14.1,4.8,50.6,2.4,181,0.2,3031
3,Gekko,Initiator,0.88,12.8,14.6,4.6,50.0,3.6,186,0.1,4642
4,Sova,Initiator,0.85,12.3,14.5,4.9,49.7,5.8,182,0.1,7361
5,Sage,Sentinel,0.8,11.5,14.5,6.2,49.6,14.2,169,0.1,18072
6,Skye,Initiator,0.79,11.7,14.7,6.8,49.5,3.4,174,0.1,4382
7,Jett,Duelist,0.98,14.8,15.1,4,49.3,6.5,216,0.1,8335
8,Raze,Duelist,0.91,13.8,15.1,4.6,49.2,6.6,207,0.1,8448
9,Viper,Controller,0.87,12.5,14.5,5,49.0,6.4,184,0.1,8146
10,Reyna,Duelist,1.02,15.2,14.9,4.4,49.0,10.7,223,0.1,13679
11,Omen,Controller,0.91,13.6,14.9,4.7,48.4,5.9,196,0.1,7562
12,Brimstone,Controller,0.88,12.8,14.7,5.8,48.3,3.2,189,0.1,4036
13,Phoenix,Duelist,0.93,13.8,14.8,4.2,48.3,4.1,204,0.1,5178
14,Astra,Controller,0.93,13,14,4.7,48.3,0.5,189,0.2,642
15,Fade,Initiator,0.8,12,14.9,6,48.2,4.5,177,0.1,5793
16,Chamber,Sentinel,0.97,13.7,14.2,3.4,48.0,2.3,198,0.1,2878
17,Neon,Duelist,0.89,13.9,15.6,4.1,47.1,4.0,204,0.1,5046
18,Breach,Initiator,0.86,12.7,14.8,5.3,46.8,1.2,189,0.1,1492
19,KAY/O,Initiator,0.81,12.2,15.1,7.7,46.2,3.6,184,0.1,4548
20,Harbor,Controller,0.83,12.3,14.7,4.8,45.9,1.2,180,0.1,1484
21,Yoru,Duelist,0.87,13.2,15.1,4,45.5,4.4,192,0.1,5640
