Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,Sentinel,0.96,13.3,13.9,4.1,51.0,6.6,195,0.2,13413
2,Viper,Controller,0.95,13.7,14.4,5.4,50.7,7.1,197,0.1,14424
3,Reyna,Duelist,1.12,16.8,15.1,4.5,50.5,11.2,242,0.1,22962
4,Gekko,Initiator,0.91,13.4,14.7,4.7,50.5,4.4,191,0.1,8907
5,Sage,Sentinel,0.86,12.5,14.5,6.6,49.9,13.5,181,0.1,27574
6,Jett,Duelist,1.05,16.1,15.3,4,49.9,7.1,234,0.1,14418
7,Raze,Duelist,1,15.2,15.3,4.7,49.9,6.2,225,0.1,12731
8,Skye,Initiator,0.88,13,14.7,7.1,49.6,3.3,190,0.1,6722
9,Brimstone,Controller,0.92,13.5,14.7,6.2,48.9,3.5,199,0.1,7102
10,Fade,Initiator,0.89,13.3,14.9,6.2,48.9,3.8,193,0.1,7676
11,Sova,Initiator,0.93,13.5,14.5,5.1,48.7,6.0,195,0.1,12183
12,Breach,Initiator,0.9,13.6,15.1,5.6,48.6,1.4,196,0.1,2912
13,Astra,Controller,1,14.6,14.6,4.8,48.1,0.6,206,0.1,1253
14,Phoenix,Duelist,1.02,15.3,15,4.3,48.0,3.5,221,0.1,7169
15,Neon,Duelist,0.96,15,15.7,4.2,47.5,3.3,219,0.1,6697
16,Omen,Controller,0.95,14.3,15.1,5,47.4,6.1,206,0.1,12372
17,Cypher,Sentinel,0.93,13.4,14.4,4.8,47.0,2.1,190,0.2,4331
18,KAY/O,Initiator,0.88,13.3,15.1,8.1,46.5,3.5,197,0.1,7120
19,Harbor,Controller,0.85,12.8,15,5.5,46.5,1.4,185,0.1,2760
20,Yoru,Duelist,0.95,14.5,15.3,4.1,46.5,3.1,207,0.1,6372
21,Chamber,Sentinel,1.03,15,14.5,3.3,46.4,2.5,211,0.1,5023
