Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Reyna,Duelist,1.13,18.1,16,4.3,51.5,10.9,249,0.1,13836
2,Gekko,Initiator,0.96,14.6,15.2,4.8,50.4,6.7,196,0.1,8483
3,Viper,Controller,1.02,15.2,14.9,5.8,50.4,13.9,208,0.2,17718
4,Killjoy,Sentinel,1.03,14.9,14.5,3.6,49.9,6.5,205,0.2,8248
5,Sage,Sentinel,0.93,14.1,15.1,7.3,49.7,11.3,193,0.1,14365
6,Brimstone,Controller,0.97,14.8,15.2,7.6,49.6,1.2,206,0.1,1540
7,Sova,Initiator,0.99,14.7,14.9,5.5,49.5,10.6,204,0.2,13477
8,Phoenix,Duelist,1.06,16.9,15.9,4.3,49.4,1.4,233,0.1,1724
9,Raze,Duelist,1.03,16.9,16.4,4.8,49.3,5.4,240,0.1,6857
10,Jett,Duelist,1.09,17.9,16.4,3.9,49.3,14.8,247,0.1,18796
11,Chamber,Sentinel,1.09,16.4,15.1,2.8,48.4,2.7,221,0.1,3374
12,Fade,Initiator,0.96,14.8,15.4,6.3,47.9,1.8,204,0.1,2346
13,Skye,Initiator,0.95,14.8,15.6,7.4,47.8,1.8,204,0.1,2320
14,Omen,Controller,0.97,15.3,15.7,6.3,47.1,2.9,210,0.1,3729
15,Neon,Duelist,0.99,16.6,16.8,4.1,47.1,0.9,230,0.1,1103
16,Astra,Controller,1.01,15.5,15.4,5.6,46.4,0.3,206,0.1,425
17,KAY/O,Initiator,0.92,14.6,15.8,9.2,45.7,3.0,206,0.1,3844
18,Yoru,Duelist,1.01,16.5,16.3,4.2,44.8,0.8,225,0.1,1032
19,Breach,Initiator,0.93,14.5,15.6,6.1,43.6,0.5,202,0.1,590
20,Harbor,Controller,0.91,14.2,15.6,6,43.6,1.6,192,0.1,2032
21,Cypher,Sentinel,0.98,14.8,15.1,4.4,43.4,1.1,200,0.1,1400
